,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,calcium,iron,magnesium,potassium,sodium,ingredients,cholesterol
0,Sweet Pepper Balsamic Bean Salad,14000,"Marinated beans that pack a punch! Refrigerate this salad overnight and see if it gets more tasty. You can vary the recipe by substituting black beans for the kidney beans, if you like. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F840130.jpg,4,144.3,18,4.0,28.6,8.9,4.9,0.9,0.1,0.0859,0.0029,0.0228,0.393,0.9957,"1 cup chopped yellow bell pepper #1 (15 ounce) can kidney beans, drained and rinsed #1 (7 ounce) jar roasted red peppers, drained #12 cherry tomatoes, halved #2 tablespoons chopped fresh parsley #3 tablespoons balsamic vinegar #1 tablespoon vegetarian Worcestershire sauce #1 teaspoon white sugar #1 teaspoon dried basil #1 teaspoon chopped garlic #½ head lettuce ",0.0
1,Pineapple Fried Rice,14001,"A version of fried rice using tofu and pineapple. Light, tasty, and easy. Serve with hot sauce or extra soy sauce. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2621.jpg,8,266,29,3.5,44.9,1.7,5.5,5.6,1.1,0.1812,0.0048,0.0358,0.2555,0.3735,"1 (8 ounce) can crushed pineapple with juice #4 cups water #2 cups white rice #1 tablespoon peanut or walnut oil #2 eggs, beaten #½ teaspoon sesame oil #1 (12 ounce) package tofu, diced #¾ cup chopped mushrooms #3 tablespoons soy sauce #3 green onions, thinly sliced #1 cup diced carrots ",0.0465
2,Baba Ghanoush with Yogurt,14002,"This dip goes great with everything, but it is always a big hit at parties, especially when served with hummus, tabouli and pita bread. If you're a big fan of tahini, add more according to your taste. Enjoy! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1427802.jpg,7,130.5,13,3.8,14.2,6.1,6.4,7.3,1.3,0.1159,0.0012,0.0368,0.49069999999999997,0.054200000000000005,2 large eggplants #¼ cup lemon juice #1 pinch salt #1 tablespoon olive oil #1 cup plain yogurt #¼ cup tahini #½ teaspoon teriyaki sauce #1 clove crushed garlic ,0.0021000000000000003
3,Vegetarian Lasagna,14003,"A delicious alternative to traditional lasagna. Great for a dinner party, even when entertaining non-vegetarians! For vegans omit the cheeses! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7612925.jpg,6,329.3,30,3.4,53.3,10.5,10.5,7.2,3.3,0.22669999999999998,0.0048,0.1067,1.2558,0.3954,"1 (16 ounce) can diced tomatoes #1 (16 ounce) package instant lasagna noodles #1 bunch fresh spinach, washed and chopped #2 large carrots, shredded #2 large zucchini, diced #2 summer squash, diced #1 large eggplant, diced #1 large head broccoli, cut into florets #2 teaspoons dried oregano # salt and pepper to taste #1 cup shredded mozzarella cheese (Optional)#1 cup ricotta cheese (Optional)",0.0181
4,Salsa Corn Chowder,14004,"A tasty chowder perfect for a cold winter day. If your feeling adventurous buy some small sourdough boules of bread, scoop out the middle and serve the chowder inside the bread bowl. The bread soaks up the chowder that doesn't make it onto your spoon. The bread bowl is delicious and fun to eat! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1473301.jpg,6,268.4,34,4.4,32.6,4.2,8.3,13.8,5.8,0.1207,0.0014,0.0461,0.5097,0.9442999999999999,"2 tablespoons vegetable oil #½ cup chopped onion #1 cup chopped green bell pepper #½ cup chopped celery #3 tablespoons all-purpose flour #2 cups vegetable broth #½ teaspoon salt #¼ teaspoon paprika #½ bay leaf #½ cup milk #1 cup warm milk #1 (16 ounce) package frozen corn kernels #½ cup medium salsa #½ cup cream cheese, diced #1 (10 ounce) can diced tomatoes with green chile peppers, drained ",0.0261
5,Tex-Mex Potatoes,14005,These potatoes are one of my personal favorites and are a good quick and easy weekday meal. Great served with sour cream. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F555779.jpg,4,419.6,15,4.2,60.3,10.3,4.8,13.2,5.9,0.2833,0.0037,0.0637,1.0349000000000002,0.6812999999999999,"4 baking potatoes #1 tablespoon vegetable oil #1 onion, chopped #1 large green bell pepper, chopped #1 teaspoon minced garlic #1 (16 ounce) can chili beans in spicy sauce, undrained #1 tablespoon vegetarian Worcestershire sauce #½ teaspoon minced jalapeno peppers #1 cup shredded Monterey Jack cheese ",0.0251
6,Vegetable Medley I,14006,"This is a clever mixture of vegetables and herbs. Even if you're not a squash or zucchini fan, you will be after you try this! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3236.jpg,6,88.4,102,4.5,10.3,2.9,5.7,3.8,1.1,0.0842,0.0013,0.0297,0.4254,0.24780000000000002,"1 tablespoon olive oil #2 yellow squash, sliced #2 zucchini, sliced #1 onion, chopped #1 green bell pepper, chopped #2 cloves crushed garlic #1 (16 ounce) can diced tomatoes #½ teaspoon dried basil #2 teaspoons dried oregano # salt and pepper to taste #¼ cup grated Parmesan cheese ",0.0037
7,Mombasa Pumpkin Dessert,14007,"This dessert's coconut and creamy taste is irresistible! For the weight watchers this could be too much! You can add more sugar to this dish, according to your taste. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F44510.jpg,12,209.9,22,4.1,43.2,0.9,35.1,4.9,4.3,0.032,0.0014,0.0237,0.5053,0.0044,"1 medium sugar pumpkin, seeded and cubed #2 cups white sugar #1 cup coconut milk #1 teaspoon ground cardamom ",0.0
8,Chinese Noodle Pancakes with Asparagus,14008,"These noodle cakes have a yummy, crispy outside and a soft inside. Mmmmm. If you'd like to spice things up, replace the dark sesame oil with hot chile sesame oil. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F86423.jpg,4,512.9,7,4.2,93.6,17.6,1.5,12.5,1.0,0.12940000000000002,0.0076,0.0571,0.4602,0.49739999999999995,"1 pound fresh Chinese wheat noodles #½ pound fresh asparagus #2 tablespoons canola oil #2 cloves garlic, minced #1 teaspoon minced fresh ginger root #1 cup water #1 tablespoon cornstarch #2 tablespoons Chinese rice wine #2 tablespoons soy sauce #1 tablespoon fermented black beans #8 ounces spinach with stems, rinsed #2 teaspoons dark sesame oil # salt and pepper to taste ",0.0
9,Muesli,14009,This is a nutritious and delicious breakfast cereal. Use any type of dried fruit you desire! You can also use almonds in place of walnuts if you like. Wonderful when served in bowls with milk and fresh berries or sliced fresh fruit. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9436232.jpg,16,188.2,129,4.8,31.8,4.8,9.4,5.7,0.7,0.0292,0.0021000000000000003,0.077,0.257,0.0039,4 ½ cups rolled oats #½ cup toasted wheat germ #½ cup wheat bran #½ cup oat bran #1 cup raisins #½ cup chopped walnuts #¼ cup packed brown sugar #¼ cup raw sunflower seeds ,0.0
10,Oatmeal-Currant Scones,14010,"These scones are a bit lighter than most because they contain milk and not cream. They also contain nutritious, fiber-rich oatmeal. If you want to add a touch of sophistication to these scones, replace the orange juice with orange flavored liqueur. Serve warm with butter and jam. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F215223.jpg,16,271.9,18,4.1,35.2,2.3,9.8,12.8,7.7,0.07740000000000001,0.0019,0.0259,0.18309999999999998,0.2965,"¼ cup orange juice #¼ cup water #1 cup dried currants #2 cups rolled oats #3 cups all-purpose flour #1 teaspoon salt #2 teaspoons baking powder #1 teaspoon baking soda #3 tablespoons white sugar #1 cup unsalted butter, cubed #1.3 cups cold milk ",0.032100000000000004
11,Poppy Seed French Toast,14011,"I like to use the semisoft, inexpensive french bread or italian bread found at supermarkets, but other breads work well, too. The amount of butter for frying is approximate; use as much as you need. Serve the french toast with maple syrup. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4515367.jpg,4,467.1,15,3.9,59.6,2.8,17.2,17.8,7.4,0.3921,0.0047,0.060200000000000004,0.3717,0.7577999999999999,3 tablespoons poppy seeds #3 eggs #2 cups milk #1 teaspoon vanilla extract #1 pinch ground nutmeg #2 tablespoons white sugar #12 thick slices white bread #2 tablespoons butter ,0.1645
12,"Zucchini, Corn, and Tomato Pie",14012,Still trying to figure out what to do with the zucchini? Here's a great dish that is absolutely delicious! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1121453.jpg,6,156.3,29,4.2,16.8,1.2,2.9,6.8,3.6,0.1232,0.0012,0.019600000000000003,0.2415,0.4062,"1 ½ cups grated zucchini #¾ cup buttermilk baking mix #1 tomato, chopped #½ cup fresh corn kernels #½ cup diced onion #¾ cup shredded Cheddar cheese #2 eggs, beaten ",0.0768
