,name,id,calories,sugars,fat,sodium,saturated fat
0,Kumquats,18300,117,27.6,0.2,0.0028,0.0
1,Crustless Seafood Quiche,18301,96,1.8,2.9,0.193,0.9
2,Chinese Chicken Salad II,18302,335,8.5,24.1,0.2195,3.1
3,Cornbread Pudding,18303,554,14.8,19.5,1.3502,8.9
4,Cucumber Slices With Dill,18304,120,25.6,0.3,0.2948,0.1
5,Fried Spinach,18305,58,1.2,3.0,0.1098,0.9
6,Green Bean Bundles I,18306,204,5.7,17.0,0.6757000000000001,3.5
7,Indonesian Spiced Rice,18307,226,1.1,5.5,0.0039,0.9
8,Italian Rice Balls,18308,683,1.5,57.8,0.8048,8.8
9,Jalapeno Corn Casserole,18309,238,4.9,15.3,0.202,9.0
10,Karrie's Yorkshire Pudding,18310,297,5.3,14.8,0.0986,4.7
11,Lemon Green Beans with Walnuts,18311,202,2.0,17.2,0.0089,5.5
12,Lime Fluff,18312,532,57.1,24.4,0.15209999999999999,11.6
13,Mexican Rice I,18313,79,0.5,1.2,0.3635,0.2
14,Moody's Green Beans,18314,390,4.4,31.3,1.6127,10.5
15,Mushrooms and Peas Rice,18315,269,7.0,7.5,0.49260000000000004,3.2
16,Onion Rice,18316,141,0.8,2.5,0.0024,0.4
17,Oven Brown Rice,18317,140,0.2,6.5,0.48160000000000003,3.8
18,Pan-Fried Asparagus,18318,188,2.1,18.4,0.5246000000000001,8.3
19,Quick and Easy Potato Casserole,18319,544,4.5,24.6,0.6583,14.2
20,Potatoes in Paper,18320,299,2.6,21.0,0.273,13.3
21,Primavera Noodles,18321,405,4.5,18.5,0.41869999999999996,3.7
22,Rhubarb Cherry Jelly,18322,165,31.5,0.0,0.0169,0.0
23,Risi Bisi,18323,271,2.2,4.8,0.7212999999999999,1.2
24,Roast Potatoes,18324,227,2.7,7.3,0.5962999999999999,0.6
25,Sauerkraut Casserole,18325,214,26.9,9.6,0.557,3.2
26,Savory Spinach Casserole,18326,180,0.6,15.1,0.2733,9.3
27,Sesame Pasta Chicken Salad,18327,349,5.5,15.2,0.30810000000000004,2.5
28,Sliced Potatoes with Bacon and Parsley,18328,269,2.6,7.3,1.5528,2.4
