,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,calcium,iron,magnesium,potassium,sodium,ingredients,saturated fat,cholesterol
0,Johnny's Spice Rub,16100,"This is a good general barbeque rub! Sprinkle or rub onto ribs, tri-tips, steaks, chicken or whatever meat you desire! Let rubbed meat sit at least an hour before cooking. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2696.jpg,25,11.7,170,4.7,2.2,0.8,0.8,0.4,0.011,0.0007,0.0060999999999999995,0.0505,0.2835,1 tablespoon garlic powder #2 tablespoons ground black pepper #1 tablespoon salt #1 tablespoon mustard powder #1 tablespoon chili powder #1 tablespoon ground cumin #1 tablespoon brown sugar #4 tablespoons ground paprika #½ teaspoon dried oregano ,0.0,0.0
1,Chocolate Chip Pistachio Cookies,16101,Pistachio Chocolate Chip Cookies with a White Chocolate Chip snow capped topping. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F11684.jpg,30,203.6,24,4.2,26.9,0.8,15.2,10.1,0.0362,0.0009,0.011699999999999999,0.0475,0.20980000000000001,3 ¼ cups all-purpose flour #2 teaspoons baking powder #1 teaspoon salt #1 cup butter #1 cup white sugar #2 large eggs #2 tablespoons milk #1 teaspoon vanilla extract #¼ cup chopped walnuts #1 (3 ounce) package instant pistachio pudding mix #1 cup semisweet chocolate chips #½ cup white chocolate chips #⅓ cup confectioners' sugar for decoration ,5.7,0.0294
2,Chicken Biryani,16102,"This is a delicious Pakistani/Indian rice dish which is often reserved for very special occasions such as weddings, parties, or holidays such as Ramadan. It has a lengthy preparation, but the work is definitely worth it. For biryani, always use long grain rice. Basmati rice with its thin, fine grains is the ideal variety to use. Ghee is butter that has been slowly melted so that the milk solids and golden liquid have been separated and can be used in place of vegetable oil to yield a more authentic taste. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9307736.jpg,7,832.4,122,4.3,78.9,5.1,5.2,35.1,0.0732,0.0036,0.0818,1.0212,1.522,"4 tablespoons vegetable oil, divided #4 small potatoes, peeled and halved #2 large onions, finely chopped #2 cloves garlic, minced #1 tablespoon minced fresh ginger root #½ teaspoon chili powder #½ teaspoon ground black pepper #½ teaspoon ground turmeric #1 teaspoon ground cumin #1 teaspoon salt #2 medium tomatoes, peeled and chopped #2 tablespoons plain yogurt #2 tablespoons chopped fresh mint leaves #½ teaspoon ground cardamom #1 (2 inch) piece cinnamon stick #3 pounds boneless, skinless chicken pieces cut into chunks #1 pound basmati rice #2 ½ tablespoons vegetable oil #1 large onion, diced #1 pinch powdered saffron #5 pods cardamom #3 whole cloves #1 (1 inch) piece cinnamon stick #½ teaspoon ground ginger #4 cups chicken stock #1 ½ teaspoons salt ",8.0,0.1338
3,Chicken Salad With Pine Nuts and Raisins,16103,"This chicken salad recipe with pine nuts and raisins has a honey mustard style dressing and is topped with onions and croutons. If you don't have olive oil spray, you can just use any non-stick cooking spray. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1110322.jpg,7,332,4,3.5,25.4,2.0,7.9,17.1,0.0574,0.0023,0.0498,0.4172,0.3473,"1 ½ cups cubed French bread #½ cup sour cream #⅓ cup mayonnaise #2 tablespoons lemon juice #2 teaspoons Dijon-style prepared mustard #2 teaspoons honey #1 tablespoon chopped fresh rosemary #⅛ teaspoon salt #¼ teaspoon ground black pepper #1 pound skinless, boneless chicken breasts #2 stalks celery, chopped #⅓ cup golden raisins #1 tablespoon lemon zest #6 leaves romaine lettuce #6 leaves Radicchio, raw #2 teaspoons lemon juice #1 teaspoon olive oil #3 slices red onion #⅓ cup pine nuts, toasted ",4.4,0.0489
4,Easy Yummy Chinese Chicken Salad,16104,This recipe is not complicated and my family loves it. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5569854.jpg,10,423.1,33,4.2,31.6,6.7,8.6,27.0,0.131,0.0033,0.0677,0.5075,0.7116,"¾ cup vegetable oil #5 tablespoons seasoned rice vinegar #3 teaspoons soy sauce #3 (3 ounce) packages chicken flavored ramen noodles #1 large head cabbage, shredded #1 head iceberg lettuce - rinsed, dried, and shredded #1 bunch green onions, chopped #12 ounces canned chicken, drained #1 cup toasted and sliced almonds #3 tablespoons chopped fresh cilantro ",3.5,0.0208
5,Beef Stroganoff II,16105,"Beef Stroganoff is typically a rich dish, yet it's quite simple to make. This recipe uses nonfat sour cream to help cut down on the fat content. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1791599.jpg,4,606,246,4.1,58.6,2.3,8.2,24.5,0.2008,0.005900000000000001,0.0601,0.5041,1.0626,"1 pound sirloin steak, cut into bite size strips #1 onion, chopped #1 ½ tablespoons all-purpose flour #¾ teaspoon salt #¼ teaspoon paprika #⅛ teaspoon ground black pepper #1 (10.75 ounce) can condensed cream of mushroom soup #1 ¼ cups fat free sour cream #1 (8 ounce) package egg noodles ",8.5,0.12990000000000002
6,Hot and Sour Soup with Tofu,16106,"This soup is very similar to the kind you would find in your favorite Chinese restaurant. It consists of a rich, thick broth with some spices and mixed vegetables. It is absolutely delicious...enjoy! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2008317.jpg,4,211.2,34,3.4,17.3,4.8,4.6,12.0,0.4148,0.0033,0.0536,0.39130000000000004,0.2432,"1 tablespoon vegetable oil #1 red bell pepper, chopped #3 green onions, chopped #2 cups water #2 cups chicken broth #1 tablespoon soy sauce #1 tablespoon red wine vinegar #¼ teaspoon crushed red pepper flakes #⅛ teaspoon ground black pepper #1 tablespoon cornstarch #3 tablespoons water #1 tablespoon sesame oil #6 ounces frozen snow peas #1 (8 ounce) package firm tofu, cubed #1 (8 ounce) can sliced water chestnuts, drained ",1.7,0.0
7,Apple Pie Filling II,16107,This one uses tapioca. You can multiply the recipe as many times as you'd like. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F862172.jpg,8,144.8,29,4.6,37.7,2.0,33.1,0.1,0.0067,0.0001,0.0040999999999999995,0.0859,0.0009,5 cups thinly sliced apples #1 cup white sugar #2 tablespoons quick-cooking tapioca #½ teaspoon ground cinnamon #1 teaspoon lemon juice ,0.0,0.0
8,E-Z Cheezy Pie,16108,This is a cheesecake pie recipe for 2 pies. Dust a bit of confectioners' sugar on top before serving. ,0,16,345.5,1,4.0,22.7,0.8,9.8,26.1,0.0593,0.0014,0.0107,0.1265,0.26289999999999997,"2 (9 inch) pie shells, baked #3 (8 ounce) packages cream cheese, softened #½ cup white sugar #1 teaspoon vanilla extract #2 eggs #1 cup sour cream #3 tablespoons white sugar #2 cups sliced fresh strawberries ",13.2,0.07579999999999999
9,Deep Dish Layered Salad,16109,"It's the dressing that makes this salad so delicious. This can be made the night before, and you can also use grated Cheddar cheese instead of Parmesan. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3503.jpg,10,396.4,93,4.6,13.1,3.0,7.4,36.9,0.0574,0.0014,0.0219,0.315,0.3783,"2 eggs #1 ½ heads iceberg lettuce - rinsed, dried, and shredded #1 cup chopped celery #1 cup chopped green bell pepper #1 cup chopped green onions #2 cups sliced fresh mushrooms #2 cups frozen green peas, thawed #2 tablespoons bacon bits #2 tablespoons grated Parmesan cheese #2 cups mayonnaise #2 tablespoons brown sugar #½ teaspoon garlic powder #½ teaspoon curry powder ",5.9,0.055799999999999995
