,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,cholesterol,calcium,iron,magnesium,potassium,sodium,ingredients
0,Lasagna Alfredo,19400,"Lasagna Alfredo with chicken, ricotta and spinach. So good that my family requests it at least once a week. Serve with diced tomato as a garnish. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F251626.jpg,8,954.2,355,4.3,56.5,2.7,6.8,57.7,26.7,0.157,0.8936000000000001,0.004,0.1006,0.5687000000000001,1.7638,"1 (16 ounce) package lasagna noodles #1 (10 ounce) package frozen chopped spinach #3 cooked, boneless chicken breast halves, diced #2 (16 ounce) jars Alfredo-style pasta sauce #4 cups shredded mozzarella cheese #2 pints ricotta cheese # salt and ground black pepper to taste "
1,Corny Spaghetti,19401,"Family favorite for years, great way to get veggies into kids, and no separate side dishes. Top with fresh chopped parsley and/or parmesan if desired. This stuff reheats great and I have used ground beef in it before, just brown it with the onions, drain then continue recipe. I hope you all enjoy it as much as we have. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F28239.jpg,6,330.7,17,3.8,56.2,7.1,12.6,8.2,3.1,0.011699999999999999,0.0429,0.0036,0.056799999999999996,0.9448,0.6431,"10 ounces angel hair pasta #2 tablespoons butter #½ red onion, chopped #1 teaspoon minced garlic #3 zucchini, diced #1 pound button mushrooms, quartered #¼ cup red wine #1 (16 ounce) jar pasta sauce #1 (15 ounce) can whole kernel corn, drained "
2,Quick and Easy Alfredo Sauce,19402,"I experimented with Alfredo sauce until I found a quick, cheap, and easy Alfredo sauce combination -- the secret ingredient is cream cheese! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F57e2402c3bf1116faf2cc6933bd1feed%2F1652003830365EED1B-B5BF-4002-8045-A7768F3B37D9.jpeg,4,647.9,4339,4.2,10.0,0.2,6.6,57.1,35.8,0.1698,0.6673,0.0012,0.0344,0.3257,1.0298,½ cup butter #1 (8 ounce) package cream cheese #2 teaspoons garlic powder #2 cups milk #6 ounces grated Parmesan cheese #⅛ teaspoon ground black pepper 
3,Really Creamy Fettuccine Alfredo,19403,We have tried dozens of recipes to get the creamiest fettuccine Alfredo - and here's the winner! Basil and nutmeg add a subtly different feel to this Alfredo. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F323167.jpg,4,680.3,146,4.4,45.2,2.1,4.0,48.2,19.5,0.0772,0.2697,0.0025,0.040799999999999996,0.2591,0.6736,8 ounces dry fettuccine pasta #1 (8 ounce) package cream cheese #¾ cup grated Parmesan cheese #½ cup margarine #½ cup milk #1 teaspoon garlic powder #¼ teaspoon dried basil #1 pinch ground nutmeg 
4,Scim's Fettucine Alfredo with Shrimp,19404,Forget those expensive Italian restaurants - try this! A great dish to serve for guests with a loaf of garlic bread. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F247692.jpg,4,909.5,67,4.4,47.1,2.5,2.9,73.0,44.9,0.2715,0.2715,0.003,0.052,0.4405,0.4823,"½ cup butter #1 pint heavy cream #½ pound fresh mushrooms, sliced #15 medium shrimp - peeled, deveined and cooked #¾ cup grated Parmesan cheese #8 ounces dry fettuccine pasta "
5,Grilled Shrimp Rice Noodle Bowl,19406,"A Vietnamese-style rice noodle bowl. The sauce is a bit sweet, but is balanced by lime juice and mint. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5713737.jpg,2,564.8,34,4.0,85.0,4.2,19.4,21.3,2.9,0.0443,0.0842,0.0019,0.055600000000000004,0.3025,1.7569000000000001,"8 large fresh shrimp, peeled and deveined #3 tablespoons olive oil #3 cloves garlic #½ cup fresh mint #¼ cup chopped fresh cilantro #3 tablespoons fish sauce #2 tablespoons honey #1 lime, juiced #¼ teaspoon ground white pepper #2 tablespoons fresh ginger root, minced #¾ cup shredded cabbage #1 (6.75 ounce) package dried rice noodles "
6,Kellie's Kavatini,19407,"My mother made a layered version of this when I was younger. Now that I am a wife and mother of 2, I have found my own way to make this even easier without losing the wonderful Italian flavor. Best served with a simple salad and lots of garlic bread. This is a must have in your recipe box! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3299637.jpg,6,908.4,24,4.1,49.4,4.5,8.2,52.4,24.2,0.1746,0.692,0.005,0.0635,0.49610000000000004,2.2595,1 cup ziti pasta #1 cup rotelle pasta #1 cup seashell pasta #1 ½ pounds lean ground beef #8 ounces shredded Cheddar cheese #8 ounces shredded mozzarella cheese #1 (8 ounce) package sliced pepperoni sausage #3 (14 ounce) cans pizza sauce #¼ cup grated Parmesan cheese 
7,Summer Pasta D'lite,19408,"A light and cool dinner with tomato, tuna and cucumber. Substitute your favorite pasta shapes for the angel hair. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F64653.jpg,2,422.7,15,3.4,44.2,5.6,7.4,17.4,2.3,0.0188,0.0576,0.0036,0.0479,0.8324,0.2723,"6 large black olives, chopped #3 tomatoes, chopped #1 (5 ounce) can tuna, drained #½ cucumber, chopped #1 small onion, chopped #2 cloves garlic, minced #2 tablespoons olive oil # salt and pepper to taste #4 ounces angel hair pasta "
8,Summer Pasta Salad I,19409,"This is a great pasta salad, light and refreshing and a great family favorite! Has Catalina and Italian dressing, veggies and vinegar that gives it that zing! This is best when prepared the day before to get the full flavor! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F836603.jpg,10,478.6,21,4.3,60.5,2.9,24.8,24.4,3.6,0.0,0.0329,0.002,0.0297,0.2291,1.0214,"1 (16 ounce) package penne pasta #1 cup distilled white vinegar #½ cup white sugar #1 (16 ounce) bottle Catalina salad dressing #1 cup Italian-style salad dressing #1 cucumber, chopped #2 (2 ounce) cans sliced black olives #1 tomato, chopped #½ cup chopped onion #1 cup chopped baby carrots #1 green bell pepper, chopped #½ teaspoon celery salt # salt and pepper to taste "
9,Tuna Italiano,19411,"I just happened to put together a few of my favorite things -- olives, garbanzo beans and tuna -- and it turned out to be a real hit. Hope you enjoy! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F653612.jpg,6,580.3,22,3.3,69.6,5.9,3.3,23.4,4.3,0.030199999999999998,0.1157,0.004200000000000001,0.0551,0.2606,0.8121,"3 tablespoons olive oil #1 clove garlic, sliced #1 white onion, diced #1 cup water #2 (5 ounce) cans tuna in olive oil #1 (6 ounce) can pitted black olives, drained and chopped #1 (15 ounce) can garbanzo beans, drained and rinsed #½ teaspoon garlic salt #½ teaspoon ground black pepper #1 pound penne pasta #¼ cup grated Romano cheese "
