,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,cholesterol,calcium,iron,magnesium,potassium,sodium,ingredients
0,Butterscotch Pudding II,21400,Chill overnight in individual dishes. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8289371.jpg,4,429.5,29,3.8,65.0,0.2,58.3,17.3,10.1,0.1436,0.18159999999999998,0.001,0.018,0.24659999999999999,0.144,"1 cup brown sugar #¼ cup all-purpose flour #1 ¾ cups whole milk #2 egg yolks, beaten #¼ cup butter "
1,Fennel Pork Chops,21402,"Delicious pork chops simmered in a fennel seed, garlic and white wine sauce. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F687921.jpg,4,172,37,4.5,2.6,0.6,0.6,6.5,2.3,0.036899999999999995,0.0343,0.0009,0.0219,0.2729,0.7046,"4 pork chops #1 ½ teaspoons garlic salt, or to taste #1 tablespoon fennel seed #1 cup white wine "
2,Ham and Beans,21403,"My mom created this recipe, and I really enjoyed it as a child. As an adult, my taste changed just a bit, so I modified her recipe to ""kick it up"" a bit. It is fabulous even though the ingredients list is quite short! This is a must-make with leftover ham and everyone agrees it's absolutely delicious. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9174361.jpg,7,300.3,379,4.4,42.8,10.7,10.5,6.7,2.4,0.0182,0.1175,0.0037,0.08209999999999999,0.7228,0.4235,"1 pound dry great Northern beans #½ pound cooked ham, diced #1 small onion, diced #½ cup brown sugar # salt and pepper to taste #¼ teaspoon cayenne pepper #1 tablespoon dried parsley "
3,Shrimp Chinese Chow Mein,21404,"Shrimp, red pepper, green pepper, celery and onion in mushroom soup, served over chow mein noodles. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3523773.jpg,6,334.9,1,1.5,31.9,5.4,3.5,13.9,2.3,0.115,0.0916,0.0047,0.0707,0.5251,1.3645999999999998,"2 cups chopped celery #1 onion, diced #1 red bell pepper, sliced #1 pound fresh shrimp, peeled and deveined #1 (15 ounce) can mixed vegetables, drained #1 (10.75 ounce) can condensed cream of mushroom soup #¼ cup soy sauce #½ cup green bell pepper, chopped #4 cups chow mein noodles "
4,Curried Ham Popover Pie,21405,"This popover pie using curry and ham is perfect for breakfast, lunch, or supper. So quick and easy to prepare. It's attractive and tastes good, too. Top each serving with a dollop of yogurt and chutney. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F782292.jpg,5,357.2,15,3.8,17.3,0.8,2.4,20.8,7.4,0.16540000000000002,0.0731,0.0022,0.027600000000000003,0.4259,1.2243,"1 pound cooked ham, diced #¼ cup diced green bell pepper #¼ cup minced green onions #¾ cup milk #¾ cup all-purpose flour #3 eggs #½ teaspoon curry powder "
5,Tuna Salad,21406,"Tuna and lettuce salad with garbanzo beans, chopped egg, and cucumber. Great with French dressing. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9158068.jpg,4,349.6,14,4.5,27.1,4.8,8.7,19.4,3.6,0.1154,0.0706,0.0024,0.047200000000000006,0.49,0.5484,"1 (5 ounce) can tuna, drained #1 (15 ounce) can chickpeas (garbanzo beans), drained #2 hard-boiled eggs, chopped #1 cucumber, peeled and diced #1 head iceberg lettuce, torn into bite-sized pieces #½ cup French dressing "
6,Egg Foo Yung I,21407,This is a simple recipe that we use for brunch when camping. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F681163.jpg,4,248.2,15,4.0,15.3,2.4,4.8,13.5,3.1,0.2949,0.0613,0.0032,0.0381,0.3478,1.2922,"1 tablespoon vegetable oil #1 green bell pepper, chopped #1 onion, chopped #1 cup cooked shrimp - peeled, deveined and chopped #1 cup fresh bean sprouts #1 (5 ounce) can water chestnuts, drained and sliced #3 tablespoons soy sauce #5 eggs #1 tablespoon vegetable oil #2 tablespoons cornstarch #¼ cup cold water #2 cups chicken broth #2 tablespoons soy sauce "
7,Deviled Crab,21408,Deviled crab cakes with a white cream and basil sauce. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8571844.jpg,8,379.6,1,5.0,24.3,1.1,1.2,18.0,6.3,0.1029,0.1115,0.0022,0.078,0.5858,0.6748999999999999,"1 ¾ pounds crabmeat #¾ teaspoon Worcestershire sauce #¾ teaspoon hot pepper sauce #⅛ teaspoon salt #1 cup dry bread crumbs #5 tablespoons vegetable oil, divided #1 tablespoon butter #2 cloves garlic, minced #1 cup all-purpose flour #2 cups clam juice #½ cup white wine #⅛ teaspoon freshly ground black pepper #⅛ teaspoon crushed red pepper flakes #½ cup heavy cream #¼ cup fresh parsley, minced #1 ½ tablespoons fresh lemon juice #1 ½ tablespoons fresh basil, minced "
8,Sonya's Special Turkey Stuffing,21409,Cooking low fat is important to me. I developed this stuffing recipe when my father had surgery and needed to go on a low fat diet. Chicken broth and fat free butter flavored granules provide traditional holiday flavor and keep the stuffing moist. ,0,20,105.2,2,5.0,19.2,1.6,1.9,1.3,0.3,0.0002,0.0619,0.0013,0.0129,1.2254,0.3803,"½ cup fat free butter flavored granules #2 (14.25 ounce) cans fat-free, reduced-sodium chicken broth #1 ½ cups diced celery #1 large onion, chopped #1 ½ cups diced fresh mushrooms #8 ounces Italian-style dry bread crumbs #8 ounces dry bread crumbs #3 tablespoons salt-free herb and spice blend "
9,Twice Fried Fish,21410,"Slightly spicy and aromatic, this fried fish is always my husband's favorite choice! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2526652.jpg,5,224.2,19,4.2,3.3,0.3,1.1,11.8,2.5,0.0611,0.027100000000000003,0.0009,0.048600000000000004,0.5977,0.9858,1 tablespoon hoisin sauce #1 tablespoon canned tomato sauce #1 tablespoon dry sherry #1 teaspoon ground black pepper #2 tablespoons dark soy sauce #1 teaspoon white sugar #1 teaspoon salt #1 ½ pounds cod fillets #3 tablespoons vegetable oil #1 tablespoon lard #1 teaspoon cornstarch #4 tablespoons water 
