,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,sugars,fat,saturated fat,cholesterol,calcium,iron,magnesium,potassium,sodium,ingredients,dietary fiber
0,Bloomin' Onion Dipping Sauce,17200,Dip those delicious deep fried onions in this awesome concoction! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F942563.jpg,10,28.3,49,4.3,1.4,0.7,2.4,1.5,0.0050999999999999995,0.0154,0.0001,0.0022,0.0335,0.0855,½ cup sour cream #2 tablespoons ketchup #½ teaspoon seasoned salt #⅛ teaspoon crushed red pepper flakes #1 ½ teaspoons finely grated raw horseradish #¼ teaspoon paprika ,0.0
1,Lamingtons,17201,"Lamingtons are little sponge cakes coated in chocolate and grated coconut. A traditional Australian treat that appeals to most. Any firm type of plain cake can be used: butter cake, pound cake, Madeira cake or genoise sponge. Note: desiccated coconut is a slightly dried shredded coconut--not sweetened. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F344341.jpg,24,322.9,55,4.1,39.9,27.8,18.0,14.3,0.0292,0.0799,0.0014,0.0272,0.1544,0.1243,"2 cups all-purpose flour #4 teaspoons baking powder #⅛ teaspoon salt #½ cup butter, room temperature #¾ cup white sugar #1 teaspoon vanilla extract #2 eggs, room temperature #½ cup milk #4 cups confectioners' sugar, sifted #⅓ cup cocoa powder, sifted #2 tablespoons butter, melted #½ cup warm milk #1 pound unsweetened dried coconut ",3.8
2,Make-Believe Middle Eastern Chicken,17202,A sumptuous dish with a Middle Eastern flair. The spicy aroma fills you with passionate thoughts. Serve over white rice or couscous. This chicken is also a perfect complement to falafel. The spices can be adjusted; I use much more cumin than I specified in the recipe. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3214838.jpg,2,526.4,23,3.9,20.6,7.6,35.6,14.3,0.1161,0.24930000000000002,0.005900000000000001,0.0844,0.9472999999999999,0.5864,"2 tablespoons vegetable oil #2 skinless, boneless chicken breast halves - cut into cubes #½ cup sour cream #½ cup half-and-half cream #3 teaspoons ground cumin #½ teaspoon ground nutmeg #½ teaspoon ground allspice #1 teaspoon ground white pepper #1 (14.5 ounce) can stewed tomatoes ",2.9
3,Buttermilk Seed Bread,17203,A soft and chewy bread that's both tangy and wholesome. Four different seeds and whole wheat flour give this bread a hearty texture. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F30340.jpg,20,90.2,52,4.8,13.5,3.9,3.3,0.5,0.0007,0.0513,0.0009,0.0327,0.1113,0.2661,"1 (.25 ounce) package active dry yeast #1 teaspoon white sugar #¾ cup warm water (110 degrees F/45 degrees C) #1 ½ cups buttermilk #2 tablespoons margarine, melted #3 tablespoons honey #2 teaspoons salt #2 tablespoons sesame seeds #2 tablespoons flax seeds #2 tablespoons poppy seeds #2 tablespoons sunflower seeds #2 cups whole wheat flour #4 cups bread flour ",2.1
4,Cheese Squares,17204,"Fried, delicious cheese squares! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2890332.jpg,4,472.9,12,3.5,21.1,2.9,33.8,14.5,0.153,0.4843,0.0021000000000000003,0.032,0.16419999999999998,0.5867,1 (8 ounce) package Cheddar cheese #2 eggs #¼ cup milk #1 cup bread crumbs #2 cups vegetable oil for frying ,1.2
5,Eggs Benedict,17205,"Hot buttered English muffins, Canadian-style bacon, and poached eggs are topped with a heavenly drizzle of hollandaise sauce. Wonderful for Easter, Mother's Day, or anytime you want to treat yourself to the best brunch in the world! Serve with roasted potatoes for mopping up the extra egg yolk and hollandaise. If you prefer, you can substitute ham for the Canadian bacon in this recipe. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9441991.jpg,4,879,408,4.0,29.6,0.9,71.1,38.9,0.7421,0.1264,0.004200000000000001,0.036899999999999995,0.45,1.7193,"4 egg yolks #3 ½ tablespoons lemon juice #1 pinch ground white pepper #⅛ teaspoon Worcestershire sauce #1 tablespoon water #1 cup butter, melted #¼ teaspoon salt #8 eggs #1 teaspoon distilled white vinegar #8 strips Canadian-style bacon #4 English muffins, split #2 tablespoons butter, softened ",1.7
6,Chocolate Coffee Bread,17206,"A delicious, sweet, dessert bread for all cappuccino lovers! It's perfect as dessert, or as I prefer, topped with ice cream! Maple syrup can be substituted for honey in this recipe. ",0,12,195.9,3,1.5,34.8,11.9,5.1,1.9,0.0004,0.0497,0.0019,0.0451,0.2088,0.31510000000000005,1 ⅓ cups water #⅓ cup cocoa powder #1 ⅓ cups bread flour #1 ⅓ cups whole wheat flour #3 tablespoons dry milk powder #1 ½ teaspoons salt #1 ½ tablespoons vegetable oil #3 tablespoons honey #2 ¼ teaspoons active dry yeast #½ cup semisweet chocolate chips #2 envelopes instant mocha cappuccino mix ,3.4
7,Brown Sugar Chews,17207,A chewy bar cookie with coconut and raisins. These stay soft in the center after baking. I usually double the recipe and bake it in a nine by thirteen inch pan. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9095522.jpg,16,107.8,5,3.6,25.3,19.9,0.7,0.4,0.0116,0.019,0.0005,0.0064,0.1085,0.0688,1 egg #1 cup packed brown sugar #1 teaspoon vanilla extract #½ cup sifted all-purpose flour #¼ teaspoon baking soda #¼ teaspoon salt #¼ cup flaked coconut #1 cup raisins ,0.6
8,Chicken Stroganoff II,17208,"A mushroom and tomato sour cream sauce over chicken and egg noodles make this the unofficial chicken version of Beef Stroganoff! Serve with garlic bread, if desired. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F48320.jpg,6,592.5,19,3.5,49.4,10.7,23.8,11.6,0.1529,0.1393,0.0046,0.0853,0.9066000000000001,0.9093,"1 tablespoon vegetable oil #1 onion #1 (4.5 ounce) can mushrooms, drained #2 pounds skinless, boneless chicken breast halves - cut into bite-size pieces #2 teaspoons garlic powder #1 (8 ounce) package egg noodles #2 cups sour cream #1 (26 ounce) can condensed tomato soup # salt and pepper to taste ",2.6
9,Absolutely the Best Chocolate Chip Cookies,17209,This is a secret family recipe for chocolate chip cookies! Everyone who tries them begs for more. Enjoy!! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F0b5bf82a4ef600b13ab4f50109263027%2F1646085607IMG_20220228_165725721.jpg,24,241.2,1144,4.2,28.1,18.2,13.7,5.4,0.0202,0.026600000000000002,0.0007,0.0035,0.0248,0.18,1 cup butter flavored shortening #¾ cup white sugar #¾ cup brown sugar #2 eggs #2 teaspoons Mexican vanilla extract #2 ¼ cups all-purpose flour #1 teaspoon baking soda #1 teaspoon salt #2 cups milk chocolate chips ,0.3
