,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,calcium,iron,magnesium,potassium,sodium,ingredients,saturated fat,cholesterol
0,Raisin Sauce for Ham I,24500,This tangy sauce melds the taste of orange and raisins perfectly. Serve it as a topping for baked ham. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4503335.jpg,8,189.8,19,4.2,49.7,0.8,32.9,0.1,0.024399999999999998,0.0003,0.0079,0.1434,0.0975,1 cup raisins #1 cup warm water #1 cup orange juice #1 cup orange marmalade #¼ cup white sugar #2 tablespoons cornstarch #¼ teaspoon salt #1 pinch ground cloves ,0.0,0.0
1,Tangy Honey-Glazed Ham,24501,"Honey-glazed ham is perfect for holiday dinners or other special occasions. An easy, homemade glaze is brushed onto the ham during the last half hour of baking, adding incredible flavor and creating a sweet, sticky, caramelized coating your guests will love. I came up with the glaze for this ham using ingredients on hand and it's the best I've ever tasted. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9431994.jpg,20,510.8,643,4.8,19.4,0.1,18.7,30.1,0.0263,0.0017,0.0363,0.5457000000000001,2.1718,"1 (10 pound) fully-cooked, bone-in ham #1 ¼ cups packed dark brown sugar #⅓ cup pineapple juice #⅓ cup honey, or more to taste #⅓ large orange #2 tablespoons Dijon mustard #¼ teaspoon ground cloves #1 ½ teaspoons lemon juice, or to taste (Optional)",10.7,0.1113
2,Egg Foo Young,24502,"This is an easy recipe to make at home. Green onion, celery, bean sprouts and shrimp sauteed in soy sauce and combined with egg. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7096749.jpg,4,238.6,27,4.5,7.7,1.3,3.9,12.1,0.1075,0.0033,0.0263,0.4151,1.3127,"1 teaspoon sesame oil #1 cup chopped onion #¼ cup chopped green onion #½ cup chopped celery #1 cup bean sprouts #¼ teaspoon cornstarch #½ pound shrimp, peeled, deveined and roughly chopped #2 tablespoons soy sauce #1 teaspoon salt #8 eggs, well beaten ",3.3,0.4616
3,Tuna Casserole II,24503,Great recipe for summer--a quick supper. All you have to do is make a salad when this is in the oven. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8286801.jpg,6,626.5,46,4.3,69.4,4.2,7.4,26.7,0.1972,0.004200000000000001,0.0675,0.5953999999999999,1.0513,"1 (12 ounce) package uncooked rotini (corkscrew) pasta #1 tablespoon vegetable oil #2 cloves garlic, minced #1 large red bell pepper, chopped #1 large green bell pepper, chopped #3 carrots, peeled and cut into matchsticks #1 zucchini, cut into matchsticks #2 (10.75 ounce) cans condensed cream of mushroom soup #2 (5 ounce) cans tuna, drained #4 ounces shredded mozzarella cheese #1 (6 ounce) can French-fried onions ",8.0,0.0247
4,Shrimp Paella,24504,This is a simple paella that is fast and tastes great. I even got my kids to eat it. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2753559.jpg,4,199.5,23,3.5,23.0,1.1,2.6,1.2,0.0757,0.0058,0.0386,0.31289999999999996,0.35869999999999996,"½ cup uncooked white rice #1 ½ cups water #½ teaspoon minced garlic #1 pound fresh shrimp, shelled and deveined without tails #1 (14.5 ounce) can chicken broth #1 (14.5 ounce) can peeled and diced tomatoes with juice #4 saffron threads ",0.3,0.1729
5,Ginger Shrimp with Fried Rice,24505,"My husband and I love Ginger Shrimp. I fix it often and have many requests for the recipe. Served with green beans and red peppers, it is always a hit at mealtime! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1051904.jpg,6,307.4,21,3.6,41.7,0.9,4.0,8.2,0.042,0.0034,0.039200000000000006,0.21480000000000002,0.168,"2 ⅔ cups water #1 ⅓ cups uncooked white rice #2 tablespoons sesame oil #1 tablespoon butter #¼ cup snow peas #¼ cup whole kernel corn, drained #¾ pound cooked shrimp - peeled and deveined #⅓ cup orange juice #¼ cup fresh lime juice #2 tablespoons minced onion #2 teaspoons honey #2 teaspoons minced fresh ginger root #1 clove minced garlic #¾ cup chicken broth #1 teaspoon cornstarch #1 teaspoon butter ",2.6,0.1175
6,Shrimp Egg Foo Yung,24506,"These delicious patties can be done ahead: fry and wrap them, and freeze for up to 1 month! Just before serving, reheat them in a 375 degree oven, uncovered, for about 25 minutes. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1406577.jpg,6,208.8,56,4.6,7.3,1.5,2.7,13.8,0.0582,0.0026,0.0303,0.24559999999999998,0.8257000000000001,"8 ounces fresh bean sprouts, rinsed and drained #1 cup cooked small shrimp #8 eggs, beaten #1 (4.5 ounce) can sliced mushrooms #2 large green onions, chopped #½ teaspoon salt #3 tablespoons vegetable oil #1 ½ cups chicken broth #2 tablespoons soy sauce #¼ teaspoon salt # ground white pepper, to taste #2 tablespoons cornstarch #2 tablespoons cold water ",3.2,0.2896
7,Crispy Fish Fillets,24507,Even people who aren't sure if they love fish will love these crunchy fillets! Quick and easy! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6238907.jpg,4,390.8,373,4.6,26.2,1.8,1.2,18.1,0.07890000000000001,0.002,0.06420000000000001,0.7255,0.6558999999999999,1 egg #2 tablespoons prepared yellow mustard #½ teaspoon salt #1 ½ cups instant mashed potato flakes #¼ cup oil for frying #4 (6 ounce) fillets sole ,3.8,0.1368
8,Crawfish Etouffee IV,24508,This is a quick and very good Cajun dish that was given to me by my mother. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F18212.jpg,6,500.6,43,4.6,16.3,1.2,4.1,43.0,0.0765,0.0029,0.0365,0.3755,1.4057,½ cup vegetable oil #½ cup margarine #1 cup diced onion #½ cup diced green bell pepper #1 tablespoon minced garlic #1 pound peeled crawfish #3 (10.75 ounce) cans condensed cream of mushroom soup #1 (10 ounce) can diced tomatoes with green chile peppers #1 tablespoon dried parsley # salt to taste # ground black pepper to taste ,7.7,0.081
9,Grandma's Famous Salmon Cakes,24509,Wondering how to make salmon cakes? This is a recipe for my grandmother's famous salmon cakes. It's a family recipe that has been passed down through generations. Serve them with macaroni and cheese or any other type of side dish. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Ff40ad9d6b1be2ec68baacf83f814d44e%2F1645932935IMG_20220226_171006.jpg,4,306.5,309,4.4,2.3,0.4,1.0,20.3,0.2476,0.0014,0.038,0.3665,0.4075,"1 (14.75 ounce) can salmon, drained and flaked #2 large eggs, beaten #1 small onion, diced #1 teaspoon ground black pepper #3 tablespoons vegetable oil ",4.0,0.1384
