,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,calcium,iron,magnesium,potassium,sodium,ingredients,saturated fat,cholesterol
0,Best Rib Sauce,17400,"Here's a great sauce for your BBQed ribs! Just keep basting this on those babies, and you'll be wishing you could eat ribs every night! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F996619.jpg,4,342.3,15,4.1,84.0,2.0,79.8,0.2,0.031100000000000003,0.0019,0.0242,0.5542999999999999,0.457,½ teaspoon hot pepper sauce #¼ cup fresh lime juice #1 cup brewed coffee #4 teaspoons brown sugar #1 (1.5 fluid ounce) jigger bourbon #1 cup honey #2 teaspoons Worcestershire sauce #½ cup tomato paste #½ cup tomato sauce ,0.0,0.0
1,Cantonese Style Pork and Shrimp Dumplings,17401,"I love dumplings and have come up with this recipe using all ingredients that I like. The dumplings consist of pork, shrimp, watercress, water chestnuts, and assorted seasonings, and they are absolutely delicious! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F976656.jpg,10,234.1,19,4.4,28.2,1.2,0.4,5.9,0.053399999999999996,0.0029,0.03,0.18719999999999998,0.4024,"¼ pound ground pork #1 cup chopped watercress #½ (8 ounce) can water chestnuts, drained and chopped #¼ cup chopped green onions #1 tablespoon oyster sauce #1 ½ tablespoons sesame oil #1 teaspoon minced garlic #1 teaspoon soy sauce #⅛ teaspoon ground white pepper #⅛ teaspoon salt #1 (16 ounce) package round dumpling skins #1 pound peeled and deveined medium shrimp ",1.5,0.08120000000000001
2,Butterkuchen,17402,A yeasted German-style coffee cake with a cinnamon sugar topping. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7184207.jpg,24,207.4,28,4.2,29.1,0.7,12.9,8.8,0.0185,0.0012,0.006900000000000001,0.056,0.164,2 (.25 ounce) packages dry yeast #½ cup water #¾ cup milk #½ cup white sugar #1 teaspoon salt #½ cup butter #4 cups all-purpose flour #3 eggs #½ cup butter #1 cup white sugar #½ teaspoon ground cinnamon ,5.2,0.0443
3,Strawnana Smoothie Bread,17403,"A delicious fruity loaf with lots of strawberries and bananas. If you leave out the flour and baking powder and soda, this makes a pretty good smoothie too! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F29187.jpg,12,148.7,23,3.2,34.5,1.1,20.2,0.5,0.0319,0.0008,0.0116,0.1227,0.07909999999999999,¼ cup yogurt #¾ cup chopped strawberries #¼ cup milk #1 cup mashed banana #1 tablespoon orange juice #1 cup white sugar #½ teaspoon vanilla extract #¼ teaspoon ground nutmeg #1 ½ cups all-purpose flour #½ teaspoon baking powder #½ teaspoon baking soda ,0.2,0.0007
4,John's Mango Steak,17404,"This is a sweet and hot tasting steak that tastes great in the summer. It combines the heat of hot pepper sauce with the sweetness of apple, honeydew and mango. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F700808.jpg,10,449.4,2,4.4,3.9,0.5,2.6,20.4,0.0225,0.0053,0.0639,1.0237,1.1244,¼ cup olive oil #¼ cup minced apple #½ cup diced honeydew #½ cup diced mango #1 tablespoon garlic salt #2 tablespoons Worcestershire sauce #2 teaspoons kosher salt #¼ teaspoon hot pepper sauce #1 tablespoon ground black pepper #6 pounds beef steaks ,6.5,0.1606
5,German Chocolate Cake II,17405,"I've tried many German chocolate cakes, but this is the absolute best. It takes a little extra time, but is well worth the effort. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F30421.jpg,12,784.7,48,4.0,86.2,2.5,62.6,47.7,0.0724,0.002,0.0344,0.194,0.2099,4 (1 ounce) squares German chocolate #½ cup hot water #2 cups white sugar #1 cup shortening #4 egg yolks #1 cup buttermilk #1 teaspoon vanilla extract #2 ½ cups all-purpose flour #1 pinch salt #1 teaspoon baking soda #4 egg whites #1 egg yolk #1 ¼ cups white sugar #1 cup flaked coconut #¾ cup chopped pecans #2 cups heavy whipping cream #¼ cup butter ,20.6,0.1497
6,Ortega's ® Beef Fajitas,17406,"Though a very popular meal in this country, few Americans know the origins of the word fajita. These easy-to-make dinners were originally made with skirt steak, a cut of meat that looks just like a belt, or a fajo. This beef version is the classic, but fajitas are also delicious made with chicken, seafood, or vegetables. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F978758.jpg,7,252.5,9,3.5,8.5,2.1,1.6,18.0,0.027800000000000002,0.0036,0.0324,0.4885,0.49,"1 (16 ounce) jar ORTEGA® Thick & Chunky Salsa #¼ cup vegetable oil, divided #2 tablespoons chopped fresh cilantro #1 tablespoon chili powder #2 cloves garlic, finely chopped #1 ½ teaspoons ground cumin #½ teaspoon salt #1 pound sirloin steak, cut into 2-inch strips #1 cup red bell pepper strips #1 cup green bell pepper strips #1 cup sliced onion # Flour tortillas, warmed # Sour cream ",5.2,0.0434
7,Kabob Marinade,17407,"This is a tasty, easy to make marinade that is great for any grilled meat. It makes enough for about two pounds of uncooked meat. Hunters - try this on your deer. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7190574.jpg,6,364.8,362,4.7,7.6,0.8,2.3,37.1,0.0298,0.0016,0.0228,0.21030000000000001,2.0337,"1 cup vegetable oil #¾ cup soy sauce #½ cup lemon juice #¼ cup Worcestershire sauce #¼ cup prepared mustard #1 ½ teaspoons coarsely cracked black pepper #2 cloves garlic, minced #1 teaspoon meat tenderizer (Optional)",4.8,0.0
8,Peanut Clusters II,17408,Insanely rich but so crunchy and good. Any chocolate lover will enjoy these! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1336680.jpg,40,96.1,7,4.4,12.5,0.7,10.2,5.0,0.0335,0.0008,0.018699999999999998,0.0912,0.024300000000000002,2 cups semisweet chocolate chips #1 (14 ounce) can sweetened condensed milk #1 cup roasted peanuts #2 cups crispy rice cereal ,2.3,0.0033
9,Cream Cheese Chocolate Chip Pastry Cookies,17409,An enticing dessert for any party guest that's easy to make with puff pastry! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F977603.jpg,24,227.8,7,4.6,19.5,0.8,9.1,15.3,0.0366,0.001,0.0129,0.07690000000000001,0.08979999999999999,"1 (17.5 ounce) package frozen puff pastry, thawed #1 (8 ounce) package cream cheese #3 tablespoons granulated sugar #1 (11.5 ounce) package NESTLE® TOLL HOUSE® Milk Chocolate Morsels, divided ",6.3,0.0136
