,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,calcium,iron,magnesium,potassium,sodium,ingredients,saturated fat,cholesterol
0,Old-World Cabbage Soup,13100,"A hearty soup, great for a cold, blustery March day--or any day! My husband Tom developed this recipe and got it just right on the second try. Best if cooked one day ahead, refrigerated overnight and heated just before serving. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F10940.jpg,20,38.6,102,4.5,8.4,1.8,5.5,0.2,0.034,0.0008,0.008199999999999999,0.2206,0.2685,"½ medium head cabbage, chopped #4 large carrots, cubed #1 sweet onion, minced #4 stalks celery, cubed #¾ cup ketchup #1 ½ cups tomato-vegetable juice cocktail #3 cups vegetable broth #1 (14.5 ounce) can chicken broth #1 (14.5 ounce) can peeled and diced tomatoes ",0.0,0.0
1,Crab Bisque,13101,"This is our family's FAVORITE soup! (It's hard to save it for special occasions now, because it's SO EASY!) We like this as an appetizer with California rolls (sushi) on the side. Makes a great (and different) first course! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1133875.jpg,4,197.5,94,3.8,25.5,0.6,12.7,7.4,0.11370000000000001,0.0022,0.0356,0.3653,1.3164,1 (10.75 ounce) can condensed tomato soup #1 (10.75 ounce) can condensed cream of mushroom soup #1 ¼ cups milk #1 ¼ cups imitation crabmeat # salt to taste # ground black pepper to taste #1 pinch curry powder ,2.3,0.0149
2,Bean with Bacon,13102,A great winter soup. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F507252.jpg,6,630.7,146,4.7,52.2,19.6,6.5,35.3,0.1446,0.005,0.1504,1.1376,0.9871,"1 (16 ounce) package dried navy beans #9 cups water #1 pound bacon #2 onions, chopped #2 stalks celery, chopped #4 teaspoons chicken bouillon #1 bay leaf #⅓ teaspoon salt #¼ teaspoon ground black pepper #⅛ teaspoon ground cloves #1 (16 ounce) can diced tomatoes #4 cups water ",11.5,0.0515
3,Split Pea and Sausage Soup,13103,Green split pea with Polish Kielbasa sausage soup. Simple but delicious. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7435838.jpg,6,450,48,4.4,39.8,15.2,7.5,21.6,0.0631,0.0034,0.0813,0.9428,1.1387,"12 ounces dried split peas #2 (14 ounce) cans beef broth #16 ounces kielbasa sausage #1 cup chopped carrots #1 onion, chopped #1 bay leaf # salt to taste # ground black pepper to taste ",7.2,0.0499
4,Strawberry Soup I,13104,This recipe uses plain yogurt not heavy cream so it's lower in fat and calories but it is still just as good. It is a very simple and refreshing soup. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2106.jpg,5,196.2,124,4.6,40.5,2.9,35.9,2.0,0.2053,0.0007,0.0381,0.49839999999999995,0.0703,2 pints strawberries #2 cups plain yogurt #½ cup orange juice #½ cup white sugar #½ cup water #⅛ teaspoon ground cardamom ,1.0,0.005900000000000001
5,Beer Cheese Soup II,13105,"This soup is a popular menu item in some of our favorite restaurants. It's very rich, creamy and delicious. Garnish with bacon bits. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8672630.jpg,6,344.7,191,4.0,10.2,0.3,1.1,26.3,0.4238,0.0005,0.0256,0.1913,0.3518,1 tablespoon margarine #½ cup chopped onion #½ teaspoon minced garlic #1 teaspoon Worcestershire sauce #1 (12 fluid ounce) can or bottle light beer #1 (14.5 ounce) can chicken broth #3 tablespoons cornstarch #2 cups half-and-half #2 cups shredded sharp Cheddar cheese ,15.8,0.07809999999999999
6,Peanut Soup,13106,An interesting and exotic soup that's also very rich. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5250833.jpg,6,557,33,4.2,14.4,3.7,5.3,50.4,0.0621,0.0015,0.0932,0.5408999999999999,0.805,"4 tablespoons margarine #3 tablespoons minced onion #1 clove garlic, minced #1 tablespoon all-purpose flour #1 cup heavy whipping cream #1 cup peanut butter #½ cup ground peanuts #4 cups chicken broth # salt and pepper to taste ",16.0,0.054299999999999994
7,Miso Soup,13107,"Dashi is a basic stock used in Japanese cooking which is made by boiling dried kelp (seaweed) and dried bonito (fish). Instant dashi granules are sold in conveniently-sized jars or packets and vary in strength. Add more dashi to your soup if you want a stronger stock. You can use yellow, white or red miso paste for this soup. Yellow miso is sweet and creamy, red miso is stronger and saltier. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9189000.jpg,4,63,334,4.7,5.3,1.0,1.7,2.3,0.0378,0.001,0.0252,0.159,0.5131,"2 teaspoons dashi granules #4 cups water #3 tablespoons miso paste #1 (8 ounce) package silken tofu, diced #2 green onions, sliced diagonally into 1/2 inch pieces ",0.4,0.0
8,Cream of Jerusalem Artichoke Soup,13108,"A Jerusalem artichoke is a white-fleshed root related to the sunflower. It is not related to the thistle-like globe artichoke, even though they share a common name and taste rather similar. This soup is wonderfully rich and creamy. Garnish with fresh parsley. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2969851.jpg,4,490.8,20,4.5,47.2,5.3,14.7,29.3,0.0864,0.0055,0.056799999999999996,1.2302,0.6864,"¼ cup butter #2 onions, minced #1 pound Jerusalem artichokes, roughly chopped #2 potatoes, peeled and cubed #1 tablespoon brandy #1 tablespoon all-purpose flour #3 cups chicken broth #¾ cup heavy whipping cream # salt and pepper to taste #¼ cup chopped fresh parsley, for garnish ",17.9,0.0916
9,Lobster Bisque I,13109,A rich and delicious soup perfect for those special occasions. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F28894.jpg,4,488.7,27,4.2,29.5,5.3,8.5,29.5,0.2401,0.0058,0.0859,1.3372,1.657,"14 ounces raw lobster tail #⅓ cup butter, softened #7 green onions, chopped #1 onion, chopped #1 carrot, chopped #4 cups fish stock #4 sprigs fresh parsley #1 bay leaf #4 whole black peppercorns #2 ½ cups water #⅓ cup all-purpose flour #1 ¾ cups tomato puree #1 tablespoon sherry #½ cup heavy cream #1 pinch ground nutmeg #2 teaspoons chopped fresh tarragon ",17.3,0.1745
