,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,calcium,iron,magnesium,potassium,sodium,ingredients,cholesterol
0,Moore's Cranberry Gelatin Salad,13501,"This recipe uses fresh cranberries, pineapple, orange, grapes and apples. Delicious with turkey, chicken or ham. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4589420.jpg,11,221.6,1,5.0,55.9,3.4,49.8,0.3,0.1,0.0238,0.0004,0.0158,0.22540000000000002,0.0582,"2 (3 ounce) packages raspberry flavored Jell-O® mix #1 cup white sugar #2 cups boiling water #1 ½ cups pineapple juice #1 pound cranberries #1 large orange, unpeeled #1 ½ cups crushed pineapple, drained #2 cups seedless red grapes, halved #1 ½ cups diced apples ",0.0
1,Cranberry Apple Gelatin Mold,13502,"Try this delicious cranberry recipe with a pork roast, too! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F934713.jpg,12,179.8,25,4.6,36.7,2.1,29.9,3.3,0.3,0.053700000000000005,0.0002,0.015099999999999999,0.1433,0.1217,"1 (16 ounce) can whole cranberry sauce #1 cup water #2 (3 ounce) packages raspberry flavored Jell-O® mix #¼ teaspoon salt #2 apples, cored and diced with peel #2 oranges, peeled, sectioned, and chopped #½ cup chopped walnuts #1 cup lemon yogurt ",0.0003
2,Gourmet Pumpkin Pie,13504,A very different pie than the traditional pumpkin pie. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4556930.jpg,8,309.9,14,3.9,33.3,2.9,14.9,18.9,6.2,0.0422,0.0018,0.024300000000000002,0.3337,0.1716,1 recipe pastry for a 9 inch single crust pie #¼ cup chopped pecans #3 ⅔ cups pumpkin puree #1 egg #14 ounces sweetened condensed milk #½ cup packed brown sugar #¼ cup all-purpose flour #¼ cup chopped pecans #¼ cup butter #½ teaspoon ground cinnamon ,0.0385
3,Corn Pudding II,13505,Use a food processor or blender for quick and easy preparation. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1014718.jpg,7,453,37,4.1,58.4,2.4,37.2,20.9,11.4,0.1727,0.0014,0.041,0.42169999999999996,0.2035,"2 (10 ounce) packages frozen corn kernels, thawed #6 eggs #3 ½ cups milk #½ cup butter, melted #4 tablespoons all-purpose flour #1 cup white sugar ",0.204
4,Oranged Cranberry Sauce,13506,"This recipe was graciously shared with me by a Jamaican friend many years ago. It makes a delicious sauce, different from any other cranberry sauce I've ever tasted or made. It does not 'gel,' but you do want to cook it long enough to make a good, thick consistency. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F23438.jpg,24,93.1,240,4.5,23.9,1.6,20.7,0.1,0.0,0.0241,0.0003,0.005900000000000001,0.09179999999999999,0.005900000000000001,"2 (12 ounce) packages fresh cranberries #1 orange, zested #3 cinnamon sticks #2 cups orange juice #2 cups packed brown sugar ",0.0
5,Green Turkey and Cheese,13507,"Leftover Thanksgiving turkey casserole that even the kids will eat! This is quick, easy and delicious. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1036806.jpg,5,336.7,14,3.4,4.0,2.0,0.7,23.2,13.2,0.5096,0.0036,0.09809999999999999,0.6798,0.45239999999999997,"1 pound spinach, washed and chopped #1 ½ cups cooked turkey, cubed #10 ounces shredded Cheddar cheese ",0.094
6,Feta Cheese Foldovers,13509,"Golden puffed pastries are filled with a feta cheese mixture. These can be made ahead, and popped into the oven after your guests arrive. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5271343.jpg,12,285.7,241,4.4,19.4,0.7,1.1,20.4,7.0,0.1023,0.0013,0.011,0.0479,0.31930000000000003,"8 ounces feta cheese, crumbled #3 tablespoons finely chopped green onions #1 egg, beaten #1 (17.5 ounce) package frozen puff pastry, thawed #1 egg yolk, beaten with 1 teaspoon water ",0.0494
7,"Blue Cheese, Port, and Walnut Spread",13510,"This spread keeps for 3 weeks if refrigerated. Make to serve with bread or crackers for the Big Day, or keep it on hand for drop-in guests. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2890349.jpg,12,302.4,26,3.8,3.1,1.0,0.6,28.1,12.8,0.2169,0.0006,0.0327,0.1701,0.5294,"1 pound blue cheese #½ cup unsalted butter, softened #⅓ cup port wine #1 ½ cups chopped walnuts ",0.0487
8,Baked Ziti with Turkey Meatballs,13511,Turkey soup is not enough. Something different for that leftover turkey. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8057501.jpg,8,691.2,10,3.7,66.2,5.4,10.6,29.8,11.8,0.533,0.0063,0.10729999999999999,1.0723,1.795,"1 pound ground turkey #1 clove garlic, minced #¾ cup fresh bread crumbs #½ cup finely diced onion #3 tablespoons chopped, toasted pine nuts #½ cup chopped fresh parsley #1 egg, lightly beaten #1 teaspoon salt #1 teaspoon ground black pepper #4 tablespoons olive oil #1 (16 ounce) package ziti pasta #1 ½ cups mozzarella cheese, shredded #1 cup grated Romano cheese #6 cups tomato sauce #1 pint part-skim ricotta cheese ",0.1221
9,Insalata Cotta e Cruda,13512,This elegant salad is best saved for the grownup table. Gruyere cheese can be substituted for fontina. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1973495.jpg,4,331.5,2,5.0,35.1,14.4,4.7,18.8,4.7,0.26480000000000004,0.0039,0.10540000000000001,1.6462999999999999,0.46,"2 artichokes, uncooked and trimmed to the heart #2 bulbs fennel, trimmed and quartered #2 carrots #1 baking potato #½ head romaine lettuce #1 medium head Belgian endive #1 medium tomato #2 ounces fontina cheese #4 tablespoons olive oil #2 tablespoons red wine vinegar #1 teaspoon Dijon-style prepared mustard #1 to taste salt and pepper ",0.016399999999999998
