,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,cholesterol,calcium,iron,magnesium,potassium,sodium,ingredients
0,Cipate Pie,12500,"This layered meat pie is great if you have the time to prepare it. I am not sure where it comes from, but it is delicious if you like meat pies!! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4419703.jpg,8,824.5,5,4.2,33.3,3.7,2.9,47.4,14.6,0.1726,0.053,0.0046,0.08220000000000001,1.0557,1.2467000000000001,"2 pounds boneless chicken #2 pounds flank steak #2 pounds pork tenderloin #¼ pound salt pork, sliced #4 onions, chopped #¼ pound sliced ham #2 cups peeled and cubed potatoes #1 teaspoon salt #½ teaspoon ground black pepper #2 cups chicken broth #1 recipe pastry for a 9 inch double crust pie "
1,Pineapple Pie II,12501,"This uses crushed pineapple, and is much better than the pudding based pies. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6894641.jpg,8,439.7,30,4.4,64.9,1.1,55.0,18.8,10.3,0.0167,0.158,0.001,0.0294,0.31739999999999996,0.2407,"1 (14 ounce) can sweetened condensed milk #½ cup lemon juice #1 (20 ounce) can crushed pineapple, drained #1 (8 ounce) container frozen whipped topping, thawed #1 (9 inch) prepared graham cracker crust "
2,Frosty Pumpkin Pie,12502,"Even if you don't like pumpkin pie you will really like this one. Its an old, old recipe, but good. It is a 1950's recipe of my mothers. For a beautiful presentation, top each slice with a dollop of whipped cream and a walnut half. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F128904.jpg,8,277.5,49,4.6,39.6,1.6,29.1,12.6,6.2,0.029,0.109,0.001,0.0208,0.2325,0.3778,"1 (9 inch) pie crust, baked #1 cup pumpkin puree #½ cup packed brown sugar #½ teaspoon salt #½ teaspoon ground cinnamon #½ teaspoon ground ginger #¼ teaspoon ground nutmeg #1 quart vanilla ice cream, softened "
3,Pinto Bean Pie I,12503,Unusual pie that doesn't taste like it sounds. ,0,8,836.5,9,3.7,108.3,3.3,80.7,42.9,22.5,0.1428,0.039799999999999995,0.002,0.027,0.21680000000000002,0.566,"1 cup cooked pinto beans with juice #4 eggs, room temperature #3 cups white sugar #1 tablespoon vanilla extract #1 cup butter, melted #1 cup flaked coconut #2 (9 inch) deep dish frozen pie crusts, thawed "
4,Brown Family's Favorite Pumpkin Pie,12504,This pumpkin pie has a walnut streusel topping that is optional. Serve with whipped topping or ice cream. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1071313.jpg,8,463.4,843,4.7,52.3,3.8,35.7,25.5,7.8,0.0755,0.1886,0.0022,0.0541,0.4052,0.4915,"1 (15 ounce) can pumpkin puree #1 (14 ounce) can sweetened condensed milk #2 egg yolks #1 teaspoon ground cinnamon #½ teaspoon ground ginger #½ teaspoon ground nutmeg #½ teaspoon salt #2 egg whites #1 (9 inch) unbaked pie shell #2 tablespoons all-purpose flour #¼ cup packed brown sugar #1 teaspoon ground cinnamon #2 tablespoons butter, chilled #1 cup chopped walnuts "
5,Black Bottom Pie II,12505,Chocolate and rum ... ...... yummmm. Good garnished with whipped cream and shaved chocolate. ,0,8,247.3,1,5.0,34.5,0.8,24.5,9.4,4.0,0.0514,0.0857,0.0012,0.022699999999999998,0.1708,0.2922,"1 (9 inch) pie crust, baked #½ cup white sugar #2 tablespoons cornstarch #½ teaspoon salt #2 cups milk #2 eggs, separated #2 teaspoons unflavored gelatin #3 tablespoons cold water #2 ½ tablespoons rum #1 (1 ounce) square unsweetened chocolate #¼ teaspoon cream of tartar #⅓ cup white sugar "
6,Coconut Pie,12506,An easy coconut pie. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5071959.jpg,8,405.1,67,4.5,43.2,1.8,30.1,24.0,12.6,0.1027,0.0528,0.0012,0.014,0.1254,0.26380000000000003,1 cup white sugar #2 tablespoons all-purpose flour #½ cup butter #3 eggs #1 teaspoon vanilla extract #1 cup milk #1 cup flaked coconut #1 recipe pastry for a 9 inch single crust pie 
7,Ultimate Chocolate Turtles® Cheesecake,12507,This is a great family favorite. Great for any holiday or family dinner. Serves 12. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4939362.jpg,12,377.2,12,3.8,42.6,1.6,29.0,21.6,7.8,0.0247,0.114,0.0012,0.0285,0.2304,0.39339999999999997,"7 ounces caramels #¼ cup evaporated milk #¾ cup chopped pecans #1 (9 inch) prepared chocolate cookie crumb crust #6 ounces cream cheese, softened #½ cup sour cream #1 ¼ cups milk #1 (3.9 ounce) package instant chocolate pudding mix #½ cup hot fudge topping "
8,Empanadas I,12508,"This is a fairly quick and easy recipe for empanadas. A friend recently gave it to me, and my whole family loved them!!! Just about any kind of fruit, including melon, is fine. Or make the meat filling by using your favorite type of meat. Make one of the fillings or double the dough and make both! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4573102.jpg,10,414.5,42,3.6,49.7,2.9,27.3,19.7,5.4,0.0242,0.023600000000000003,0.0028,0.027,0.4219,0.3118,"2 cups all-purpose flour #½ teaspoon salt #⅔ cup shortening #6 tablespoons water #2 ½ cups peeled, cored and sliced apples #1 cup white sugar #1 teaspoon ground cinnamon #½ teaspoon ground nutmeg #1 yellow onion #1 green bell pepper #1 tablespoon olive oil #8 ounces tomato paste #½ cup water #1 tablespoon distilled white vinegar #1 pound lean steak, cut into 1 inch cubes "
9,Egg Custard Pie II,12509,Couldn't be simpler! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4607188.jpg,8,221,38,4.3,25.8,0.8,15.6,10.5,3.2,0.0746,0.0837,0.001,0.0119,0.132,0.1682,3 eggs #2 cups milk #1 teaspoon vanilla extract #½ cup white sugar #1 pinch salt #1 recipe pastry for a 9 inch single crust pie 
