,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,cholesterol,calcium,iron,magnesium,potassium,sodium,ingredients
0,Chicken Pepper Steak,24800,"Chicken breast simmered with onion, bell pepper, tomatoes, soy sauce, and spices to be served with a rich, pepper steak style gravy. If you like the taste of pepper steak but really don't enjoy red meat, try it with chicken! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5946682.jpg,4,248.3,127,4.4,15.1,2.1,5.6,7.5,1.5,0.0719,0.0434,0.002,0.0531,0.5562,2.1013,"1 tablespoon vegetable oil #4 boneless, skinless chicken breasts #1 teaspoon seasoning salt #½ teaspoon onion powder #2 teaspoons minced garlic #½ cup soy sauce, divided #1 large onion, cut into long slices #2 tablespoons cornstarch #2 ½ cups water #1 green bell pepper, sliced #4 roma (plum) tomatoes, seeded and chopped "
1,Braised Lamb Shank with Vegetables,24801,"Lamb shanks braised and cooked with potatoes, carrots and onion. ",0,7,694.9,7,4.0,39.3,6.4,11.5,33.5,13.9,0.196,0.07840000000000001,0.0056,0.09759999999999999,1.5292999999999999,0.2164,"7 (1 pound) lamb shanks #2 tablespoons vegetable oil # water to cover #1 ½ pounds potatoes, peeled and diced #1 ½ pounds carrots, peeled and diced #1 ½ pounds onions, peeled and diced #1 ounce all-purpose flour #2 ounces butter, melted "
2,Gramma B's Broccoli Casserole,24802,"A bunch of broccoli baked with a creamy cheesy soup mixture topped with onion rings. This is served at all family holidays and in my home all year, my kids love it! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F879293.jpg,8,751.9,12,4.0,44.6,6.7,3.8,55.5,24.0,0.075,0.4582,0.0019,0.06520000000000001,0.7903,1.6676,"9 stalks steamed broccoli, chopped #1 (10.75 ounce) can condensed cream of mushroom soup #2 cups half-and-half #1 (16 ounce) package processed American cheese #1 (16 ounce) package frozen French-fried onion rings, thawed "
3,Nacho Pie,24803,"A spicy, cheesy mixture of chili and cheese soup with the crunch of tortilla chips. This is a quick meal to fix that everyone loves! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F616755.jpg,5,605.7,14,4.1,71.8,12.2,5.4,29.5,8.2,0.038700000000000005,0.2826,0.0076,0.1789,0.8232999999999999,1.5783,1 (30 ounce) can chili with beans #1 (10.75 ounce) can condensed nacho cheese soup #½ (10.75 ounce) can milk #1 (12 ounce) package tortilla chips #¼ cup chopped onion 
4,Sausage SOS ($#@% On a Shingle),24804,"This version of the popular army dish, usually made with creamed chipped beef, uses pork sausage. Just add flour, milk, onions and seasoning and you've got the favorite for serving over biscuits or toast. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1002153.jpg,4,520.8,9,3.2,9.4,0.4,1.9,46.4,16.8,0.07959999999999999,0.062,0.0015,0.019,0.30019999999999997,0.7709,1 pound ground pork sausage #¼ cup all-purpose flour #½ cup milk #1 teaspoon poultry seasoning # salt and pepper to taste #3 tablespoons chopped onion #1 dash Worcestershire sauce 
5,Lancashire Hot Pot,24805,"Very simple lamb and potato casserole made with layers of sliced potatoes, browned onion and leg of lamb, fresh thyme, stock and seasoning. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3482186.jpg,6,365.4,27,4.2,38.4,5.3,5.1,16.3,7.0,0.0578,0.045899999999999996,0.0028,0.0619,1.0435999999999999,0.30219999999999997,"1 tablespoon vegetable oil #12 ounces chopped onion #1 ½ pounds cubed leg of lamb meat #2 ½ pounds potatoes, peeled and thinly sliced #2 tablespoons chopped fresh thyme #1 ounce butter #2 cups chicken or lamb stock "
6,Smoked Turkey Tortilla Wraps,24806,This is a great way to use leftover smoked turkey. My kids have always liked the leftovers as much as the 'firstovers'! These are different but yummy. Serve these with salsa. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F441446.jpg,10,210.9,44,4.5,28.9,3.8,0.2,9.8,3.9,0.0235,0.083,0.0015,0.0423,0.29910000000000003,0.5086,"10 whole wheat flour tortillas #10 slices smoked turkey, cut into thin strips #1 avocado - peeled, pitted and sliced #½ cup sour cream, for topping #½ cup Cheddar cheese "
7,Cheesy Meatloaf,24807,"A 'stuffed' meatloaf made with beef, pork, cheese, eggs, soup mix and bread crumbs. Mozzarella cheese jazzes up a classic. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3685939.jpg,8,407.6,142,4.4,17.6,1.1,1.8,23.2,9.7,0.1355,0.2845,0.0028,0.032,0.3085,0.7019,"1 pound ground beef #1 pound ground pork #1 (1 ounce) envelope dry onion soup mix #2 eggs, beaten #1 ½ cups dry bread crumbs # ground black pepper to taste #¾ cup water #2 cups shredded mozzarella cheese, divided "
8,Fatoosh,24808,"Sumac is available at Middle Eastern food stores. It may be left out of this salad, but the flavor to me is important to the overall taste. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5016916.jpg,6,164.1,122,4.7,17.8,2.5,3.0,9.5,1.3,0.0,0.066,0.002,0.0213,0.32089999999999996,0.5029,"2 pita breads #8 leaves romaine lettuce, torn into bite-size pieces #2 green onions, chopped #1 cucumber, chopped #3 tomatoes, cut into wedges #¼ cup chopped fresh parsley #1 clove garlic, peeled and chopped #2 tablespoons sumac powder #¼ cup lemon juice #¼ cup olive oil #1 teaspoon salt #¼ teaspoon ground black pepper #¼ cup chopped fresh mint leaves "
9,Wonderful Raspberry Walnut Dinner Salad,24809,"This is a healthy and delicious salad. It has easy to find ingredients, it is easy to make, and it tastes like gourmet. Try to use a romaine/red leaf mixture; it's particularly good in this salad! You can add grilled chicken strips to this salad to create a filling main dish. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1006670.jpg,5,108.9,34,4.6,13.6,4.5,8.6,6.1,0.9,0.0,0.0405,0.0011,0.030600000000000002,0.4945,0.2896,"1 (10 ounce) package mixed salad greens, rinsed and dried #1 (8 ounce) package sweetened dried cranberries #¼ cup sunflower seeds #4 roma (plum) tomatoes, chopped #1 avocado - peeled, pitted and diced #½ (8 ounce) bottle raspberry walnut vinaigrette "
