,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,sugars,fat,saturated fat,cholesterol,calcium,iron,magnesium,potassium,sodium,ingredients,dietary fiber
0,Scallops with White Wine Sauce I,21500,This is a fabulous and easy wine and butter sauce for seafood and vegetables. I especially like it with scallops. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2649091.jpg,6,354.4,106,4.4,2.5,0.2,33.1,19.5,0.108,0.0362,0.0003,0.036899999999999995,0.22790000000000002,0.2694,¼ cup white wine #¼ cup white wine vinegar #1 tablespoon shallots #½ cup heavy cream #¾ cup butter #24 sea scallops #1 tablespoon olive oil # salt and pepper to taste ,0.0
1,Best Ever Chewy Chocolate Chocolate Chunk Cookies,21501,This won blue ribbon at our county fair! It's also very easy! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F44882.jpg,24,220,71,4.0,35.7,23.3,8.4,5.0,0.0257,0.0181,0.0013,0.0225,0.09179999999999999,0.1424,"½ cup butter, softened #⅓ cup chocolate syrup #1 cup packed brown sugar #½ cup white sugar #2 eggs #2 tablespoons corn syrup #2 teaspoons vanilla extract #2 ½ cups all-purpose flour #1 teaspoon baking soda #½ teaspoon salt #1 (11.5 ounce) package semi-sweet chocolate chunks ",1.3
2,Honey Mustard Tofu,21502,I have always made this recipe with chicken breasts until my daughter became a vegetarian and asked me to adapt the recipe for tofu. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F148237.jpg,4,532.4,90,3.9,67.1,18.2,20.3,7.1,0.0229,0.8104,0.0057,0.15869999999999998,0.563,0.26180000000000003,"3 tablespoons butter #1 pound firm tofu, sliced into 1/4 inch slices #2 cups whole wheat flour #1 cup water #¼ cup dry white wine #2 cubes vegetable bouillon #4 tablespoons prepared mustard #¼ cup honey ",10.5
3,Salmon Loaf,21503,"Salmon, cracker crumbs, milk, egg and butter, baked into a loaf. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8253077.jpg,4,292.9,158,4.2,7.7,1.6,16.1,6.2,0.10959999999999999,0.2781,0.0014,0.0389,0.375,0.5364,"1 (14.75 ounce) can salmon, undrained #½ cup crushed saltine crackers #½ cup milk #1 egg, beaten # salt and pepper to taste #2 tablespoons melted butter ",0.3
4,Bacon Dumplings,21504,Dumplings with the flavor of fresh cooked bacon. A tasty change from ordinary dumplings. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F811394.jpg,8,183.6,8,3.6,27.4,2.0,5.1,1.6,0.0519,0.1362,0.0021000000000000003,0.0107,0.0787,0.49860000000000004,2 slices bacon #2 cups all-purpose flour #1 pinch salt #1 ½ tablespoons baking powder #1 teaspoon dried parsley # ground black pepper to taste #2 eggs #¼ cup milk #1 quart vegetable broth ,1.4
5,Chicken Pasta Primavera,21505,A wonderful dish with lots of herbs and your favorite pasta. Serve with garlic bread sticks. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F39212.jpg,6,468.9,70,4.4,49.9,4.9,17.0,4.5,0.0587,0.09179999999999999,0.0047,0.0366,0.618,0.5784,"1 red bell pepper, cut into 1 inch pieces #1 yellow bell pepper, cut into 1 inch pieces #1 green bell pepper, cut into 1 inch pieces #2 tablespoons olive oil #2 cloves garlic, minced #1 (14.5 ounce) can peeled and diced tomatoes #1 (10 ounce) can diced tomatoes with green chile peppers #1 pound angel hair pasta #2 tablespoons butter #2 tablespoons olive oil #4 skinless, boneless chicken breast halves - cut into bite size pieces #½ teaspoon dried basil #½ teaspoon dried rosemary #½ teaspoon dried thyme #½ teaspoon garlic powder #¼ cup grated Parmesan cheese ",4.8
6,Autumn Apple Salad,21506,"This sparkling salad is creamy and slightly tart. Nuts and celery add texture. Not only do adults love it, so do the kids! Cut the finished salad into squares and serve on crisp leaves of lettuce. Adjust the amount of nuts, if desired. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1118473.jpg,12,258.2,26,4.4,30.7,25.8,14.3,6.1,0.0205,0.0391,0.0007,0.0394,0.1827,0.1036,"1 (20 ounce) can crushed pineapple with juice #⅔ cup white sugar #1 (3 ounce) package lemon flavored Jell-O® mix #1 (8 ounce) package cream cheese, softened #1 cup diced, unpeeled apples #1 cup chopped nuts #1 cup chopped celery #1 cup frozen whipped topping, thawed ",1.4
7,Tuna Mushroom Casserole,21507,"This is a wonderful, quick, and tasty supper that is always a hit when we serve it. You can always prepare the casserole the night before, pop it into the refrigerator, and cook it the next day. Enjoy! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F43254.jpg,6,298,51,3.9,30.7,5.7,11.5,5.4,0.0322,0.126,0.0034,0.041299999999999996,0.3378,0.932,"2 cups bow tie pasta #2 (5 ounce) cans tuna, drained #1 (10 ounce) can mushrooms, drained #1 (10.5 ounce) can condensed cream of mushroom soup #1 ⅓ cups milk #½ teaspoon salt #¼ teaspoon freshly ground black pepper #1 cup dry bread crumbs #3 tablespoons melted butter #2 teaspoons dried thyme, crushed ",2.6
8,Fry Bread II,21508,"This treat is known by different names in different areas. Here in Arizona it is known as fry bread, in New Mexico it is known as sopapillas and in Washington it is known as elephant ears. The shapes also vary from one region to another. Serve plain, sprinkled with sugar and cinnamon, dredged in honey, or split and filled with chili con carne and toppings. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1960993.jpg,8,479.2,20,4.0,48.0,0.2,29.0,4.5,0.0,0.0793,0.003,0.0141,0.06720000000000001,0.4178,"4 cups all-purpose flour #1 tablespoon baking powder #1 teaspoon salt #4 tablespoons shortening #1 ⅓ cups cold water, or as needed #2 quarts oil for deep frying ",1.7
9,Barbeque Pork Two Ways,21509,"Easy and delicious! Pork shoulder, slow-cooked or simmered on the stovetop with onion and spices. Serve hot in sandwich buns. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8097128.jpg,8,279,347,4.8,24.7,21.7,13.6,4.9,0.055799999999999995,0.0446,0.0017,0.0256,0.5293,0.9651000000000001,"2 ½ pounds pork shoulder #½ cup chopped onion #1 clove garlic, minced #¼ cup brown sugar #1 teaspoon dry mustard #½ teaspoon salt #¼ teaspoon ground black pepper #2 cups ketchup #¼ cup Worcestershire sauce ",0.4
