,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,cholesterol,calcium,iron,magnesium,potassium,sodium,ingredients
0,Pork Chops and Sauerkraut,14700,"This dish is a simple one pan meal for two people with healthy appetites, or an entree for 4 when served with salad, bread, and of course dessert. Eat Hearty! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F122044.jpg,4,244.9,102,4.6,9.0,3.7,3.9,12.2,2.7,0.0594,0.0722,0.0025,0.0458,0.6335,0.8056,"2 tablespoons vegetable oil #4 (3/4 inch) thick pork chops #2 cloves garlic, minced #1 onion, thinly sliced #16 ounces sauerkraut #1 teaspoon caraway seed #2 tablespoons apple juice # salt and pepper to taste "
1,Pork Medallions with Port and Dried Cranberry Sauce,14701,"This is a great recipe for company! It also makes an especially nice main dish for the holiday season. The sweet yet tangy sauce perfectly compliments the pork's hearty juiciness. To double this recipe, cook meat in batches, and then make the sauce as directed. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F30910.jpg,4,244.9,52,4.5,17.9,0.9,12.2,5.2,1.5,0.0737,0.0145,0.0015,0.0348,0.4908,0.0625,½ cup dried cranberries #1 cup water #1 teaspoon vegetable oil #1 pound pork medallions # salt and pepper to taste #2 tablespoons minced shallots #½ cup tawny port wine #¼ cup distilled white vinegar #1 cup chicken broth #½ teaspoon dried thyme #1 teaspoon cornstarch #1 tablespoon water 
2,Angela's Alfredo Ham,14702,Add a side salad and garlic bread to this for a perfect (and simple) dinner party meal. Very popular with my friends and family. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6283.jpg,4,715.8,38,4.3,42.9,6.1,12.9,53.6,21.5,0.0818,0.09190000000000001,0.0028,0.033,0.345,1.9173,"8 ounces fresh tortellini pasta #1 slice ham #16 ounces frozen green peas #8 ounces fresh mushrooms, sliced #1 ½ (16 ounce) jars Alfredo-style pasta sauce "
3,Asparagus Medallions,14703,"This is an easy recipe, very quickly done and delicious. Delightful pork loin medallions simply simmered in cream of asparagus soup. The meat comes out fork tender. Serve with rice and asparagus stalks, if desired. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4447172.jpg,8,269.5,30,4.2,5.3,1.8,1.2,10.2,2.9,0.1135,0.010199999999999999,0.0016,0.045899999999999996,0.6685,0.5802,"3 pounds pork medallions, each about 1/3 inch thick #2 (10.75 ounce) cans cream of asparagus soup "
4,Best Egg Rolls,14704,"Crispy egg rolls filled with seasoned pork, cabbage, and carrots are a fabulous side dish to serve alongside stir-fry dishes. These homemade egg rolls are almost identical to what you'd get at a Chinese restaurant! Serve warm with egg roll sauce or soy sauce if desired. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F2c46048c4ca05cd0882b59f5a7527c6a%2F16449404443B958C3B-7EC1-4921-84F6-5AAD90AA0661.jpeg,8,333.5,534,4.4,22.6,1.6,1.0,20.5,5.1,0.039700000000000006,0.055799999999999995,0.0021000000000000003,0.0277,0.2395,0.22019999999999998,"1 pound ground pork #1 teaspoon ground ginger, or more to taste #1 teaspoon garlic powder, or more to taste #2 cups shredded cabbage #2 ounces shredded carrots #2 tablespoons all-purpose flour #2 tablespoons water #1 quart peanut oil for frying, or as needed #8 (7 inch square) egg roll wrappers #2 tablespoons sesame seeds (Optional)"
5,Mushion Pork,14705,"Pork chops baked with an easy mushroom soup and onion sauce. Great with mashed potato and salad, if desired. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6482968.jpg,4,197.1,36,4.1,7.7,0.5,2.3,8.3,2.2,0.0649,0.0268,0.0017,0.0293,0.41919999999999996,0.5484,"4 pork chops #1 (10.75 ounce) can condensed cream of mushroom soup #1 onion, chopped #⅔ cup water "
6,Tangy Sliced Pork Sandwiches,14706,"Hot pork bun sandwiches, great for small or big kids on a chilly afternoon. Serve with additional sauce on the side, if desired. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F188603.jpg,4,384.3,86,4.3,32.0,1.3,8.2,21.7,10.6,0.0645,0.0852,0.0027,0.0232,0.4317,0.5857,"¼ cup butter #¼ cup Worcestershire sauce #2 tablespoons lemon juice #2 tablespoons white sugar #¼ teaspoon paprika #⅛ teaspoon salt #⅛ teaspoon cayenne pepper #½ pound boneless pork, cooked and cubed #4 hamburger buns "
7,Porchetta Italiana,14707,"This is a traditional Italian pork shoulder my mother taught me how to make. It is very flavorful as long as you put enough herbs and spices in it! The pork skin makes 'cracklin' and it is great! You can stuff the roast with many different spices and foods, variations to try are roasted red peppers, sausage, prosciutto, etc. Meateaters love this dish! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1033344.jpg,7,582.4,15,4.1,2.7,0.6,0.2,44.2,14.5,0.153,0.0592,0.003,0.036899999999999995,0.6149,2.1121999999999996,"6 pounds boned pork shoulder with skin intact, butterflied #¼ cup olive oil #2 tablespoons salt #2 tablespoons ground black pepper #6 cloves garlic, minced #2 tablespoons chopped fresh rosemary #¼ cup chopped fresh dill weed #¼ cup red wine #3 tablespoons browning sauce "
8,Pork Roast with Thyme,14708,This savory recipe is easy and delicious. It is my favorite recipe for cooking a pork roast. Serve with autumn apples and sweet potatoes. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F775316.jpg,12,197.8,257,4.5,0.6,0.1,0.1,11.2,4.2,0.06609999999999999,0.0282,0.0011,0.018,0.3058,0.24669999999999997,"5 pounds pork roast, trimmed #3 cloves garlic, sliced #1 teaspoon salt #½ tablespoon ground black pepper #3 bay leaves #½ cup cider vinegar #1 teaspoon dried thyme "
9,Don Struble's Puerto Rican Pork Roast,14709,"A well seasoned pork roast worthy of feeding your family, or your very best company. Drippings from this roast makes the most fabulous and rich gravy you have ever tasted. Serve with mashed potatoes and your favorite vegetables and/or salad. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F515091.jpg,8,315.7,19,4.4,1.6,0.2,0.5,24.9,8.6,0.08020000000000001,0.044899999999999995,0.0015,0.0217,0.32430000000000003,0.6033,"3 pounds bone-in pork roast #1 dash hot pepper sauce #2 tablespoons Worcestershire sauce #1 (5 ounce) jar stuffed green olives #3 ounces sliced pepperoni sausage #4 cloves garlic, sliced # salt and pepper to taste #¾ cup water "
