,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,sugars,calcium,magnesium,potassium,sodium,ingredients,dietary fiber,fat,saturated fat,cholesterol,iron
0,Foolproof Meringue,24100,"Until I received this recipe, I never could master the art of meringue. Now I can whip it up perfect every time. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7105543.jpg,8,31.7,15,3.7,6.4,6.4,0.001,0.0014,0.0212,0.0208,3 egg whites #½ teaspoon vanilla extract #½ teaspoon lemon extract #¼ cup white sugar ,0.0,0.0,0.0,0.0,0.0
1,Grandma's Coconut Pies,24101,This recipe makes two 9 inch pies of delicate buttermilk custard with coconut. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4586946.jpg,16,368.9,25,4.3,45.0,32.2,0.0277,0.015099999999999999,0.1184,0.24159999999999998,5 eggs #2 cups white sugar #¾ cup buttermilk #½ cup melted butter #1 (10 ounce) package flaked coconut #1 teaspoon vanilla extract #2 (9 inch) unbaked pie crusts ,2.6,19.8,10.7,0.07379999999999999,0.0012
2,Huckleberry Buckle II,24102,This is a family recipe from my husband's mom and grandma. I like it better than the traditional cobbler. This works well with blueberries and blackberries also! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F20020.jpg,8,275.8,50,4.7,50.7,37.4,0.0509,0.0079,0.0847,0.17859999999999998,¼ cup butter #½ cup white sugar #1 cup all-purpose flour #1 teaspoon baking powder #¼ teaspoon salt #½ cup milk #2 ½ cups huckleberries #¾ cup white sugar #½ cup boiling water #1 tablespoon butter ,1.7,7.8,4.8,0.020300000000000002,0.0009
3,Praline Pumpkin Pie II,24103,"This fantastic recipe has been in my family for years. Its spicy custard filling with praline crust complements any holiday meal. You may substitute evaporated milk for the cream, if you prefer. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F46995.jpg,8,359.3,40,4.7,42.4,28.0,0.0741,0.0217,0.1866,0.394,"1 (9 inch) unbaked pie crust #⅓ cup ground pecans #⅓ cup brown sugar #2 tablespoons butter, softened #2 eggs #1 cup canned pumpkin puree #⅔ cup brown sugar #1 tablespoon all-purpose flour #¼ teaspoon ground cloves #¼ teaspoon ground mace #½ teaspoon ground cinnamon #½ teaspoon salt #½ teaspoon ground ginger #1 cup light cream ",2.2,20.0,8.0,0.07390000000000001,0.0017
4,Pecan Pie VI,24104,This recipe has been requested every time I bring this pie to a gathering. Top with whipped cream if desired. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F170635.jpg,8,455.4,13,4.3,57.3,25.1,0.0402,0.0235,0.1165,0.24969999999999998,1 (9 inch) unbaked pie crust #4 tablespoons butter #½ cup brown sugar #1 cup light corn syrup #3 eggs #⅛ teaspoon salt #1 teaspoon vanilla extract #1 cup coarsely chopped pecans ,2.1,24.9,6.9,0.085,0.0014
5,Pecan Pie VII,24105,"This is a simple, yet delicious recipe to make without the syrup that most pecan pie recipes call for. It's more like a custard pie with pecans. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4586526.jpg,8,687.7,67,4.5,73.2,58.9,0.166,0.052399999999999995,0.3377,0.3537,1 (9 inch) deep dish pie crust #2 cups light brown sugar #1 tablespoon all-purpose flour #½ cup melted margarine #1 cup evaporated milk #1 teaspoon vanilla extract #3 eggs #1 cup chopped pecans #1 cup pecan halves ,2.9,42.5,8.1,0.07890000000000001,0.002
6,Chocolate Chess Pie III,24106,"It's grandma's chocolate pie that's good to the last piece. Serve with whipped cream, if desired. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1096976.jpg,16,353.6,10,4.3,33.6,22.5,0.0259,0.0147,0.07540000000000001,0.24109999999999998,"1 ¾ cups white sugar #⅓ cup unsweetened cocoa powder #1 ¼ cups melted butter #4 eggs, beaten #¼ cup evaporated milk #1 teaspoon vanilla extract #2 (9 inch) unbaked pie crusts ",1.4,23.6,11.7,0.0858,0.0011
7,Chocolate Chip Cheesecake,24107,This is a family holiday favorite I created from a variation of the recipe on the cream cheese label. Super simple and super yummy! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6657160.jpg,8,566.9,61,4.6,46.1,33.5,0.0757,0.030699999999999998,0.2046,0.4167,"1 individual package chocolate graham crackers, crushed #½ cup melted butter #2 tablespoons white sugar #2 (8 ounce) packages cream cheese, softened #½ cup brown sugar #2 eggs #1 egg yolk #1 teaspoon vanilla extract #1 cup semisweet chocolate chips ",1.2,41.1,23.9,0.16419999999999998,0.0024
8,Good Ol' Boy Pie,24108,"A jar of homemade peach butter served as inspiration when thinking about a way to jazz up regular sweet potato pie, a Georgia favorite. Garnish with whipped cream, if desired. ",0,8,391.4,4,4.1,60.8,43.9,0.0927,0.027,0.2711,0.3452,"1 (9 inch) deep dish pie crust #1 cup peach preserves #1 cup cooked and mashed sweet potatoes #⅔ cup evaporated milk #½ cup brown sugar #2 eggs, lightly beaten #½ teaspoon salt #½ teaspoon pumpkin pie spice #½ cup chopped pecans ",1.7,15.2,4.2,0.0526,0.0012
9,Grandma's Cocoa Meringue Pie,24109,"This is a chocolate custard pie recipe my grandmother taught me many years ago. It's always a big hit at church functions, charity bake sales, or family get-togethers. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5263116.jpg,8,342.9,12,3.8,53.2,34.4,0.0917,0.0318,0.2075,0.325,"½ cup all-purpose flour #⅓ cup unsweetened cocoa powder #1 cup white sugar #½ teaspoon salt #2 cups milk #4 egg yolks #1 teaspoon vanilla extract #1 (9 inch) pie shell, baked #4 egg whites #¼ cup white sugar #¼ teaspoon vanilla extract ",1.8,11.8,3.8,0.10729999999999999,0.0018
10,French Silk Chocolate Pie III,24110,"Very rich chocolate pie that's perfect with coffee! Garnish with whipped cream if desired. Please note: this recipe contains raw eggs. We recommend that pregnant women, young children, the elderly and the infirm do not consume raw eggs. Important: be sure to use only fresh eggs for this recipe. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F325115.jpg,8,779.6,30,4.3,52.7,38.0,0.0438,0.053200000000000004,0.1807,0.4873,"2 cups butter #1 ½ cups white sugar #4 (1 ounce) squares unsweetened baking chocolate #2 teaspoons vanilla extract #4 eggs #1 (9 inch) pie shell, baked ",2.7,63.6,36.4,0.215,0.0036
11,Peanut Butter Pie XIX,24111,"I serve this excellent, very creamy, peanut buttery pie every Christmas and its gone in 5 minutes. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6121316.jpg,8,751.4,32,4.7,52.5,36.2,0.049,0.0804,0.3728,0.44089999999999996,"1 (8 ounce) package cream cheese, softened #¾ cup white sugar #1 ½ cups peanut butter #2 (8 ounce) containers frozen whipped topping, thawed #1 (9 inch) pie shell, baked ",3.3,56.1,25.4,0.0308,0.002
12,Peanut Butter Chip Pecan Pie,24112,"Teenagers and kids love this pie, it's so simple and oh so good. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2143321.jpg,8,624.2,2,4.6,58.2,38.5,0.0232,0.023,0.1,0.2907,½ cup all-purpose flour #1 cup white sugar #½ cup melted butter #2 eggs #1 teaspoon vanilla extract #1 cup peanut butter chips #1 cup chopped pecans #1 (9 inch) unbaked pie crust ,2.3,38.6,18.9,0.077,0.0016
