,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,calcium,iron,magnesium,potassium,sodium,ingredients,cholesterol
0,Corn Tortillas,17500,This is the real thing! A simple mixture of masa harina and water results in the most wonderful corn tortillas you ever tasted. The secret is to use a cast iron pan! You can buy masa harina at Mexican grocery stores or in the ethnic food aisle of large supermarkets. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8305391.jpg,5,145.6,150,4.3,30.4,3.8,0.3,1.5,0.2,0.0579,0.0029,0.0444,0.1194,0.0036,1 ¾ cups masa harina #1 ⅛ cups water ,0.0
1,Mexican-Style Stuffed Peppers,17501,"This colorful meatless recipe is as easy as it is healthy. It's also great for parties, as it can be prepared up to a day in advance. Just throw it in the oven and mingle with your guests. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F981745.jpg,8,222.8,5,4.0,33.0,4.1,6.9,7.4,3.8,0.1785,0.0017,0.028,0.3153,0.4639,"8 medium green bell peppers, halved, seeded #3 cups cooked long-grain white rice #1 (10 ounce) package frozen mixed peas and carrots #1 cup whole kernel corn #½ chopped green onions #1 (16 ounce) jar ORTEGA® Garden Style Salsa, divided #1 ½ cups SARGENTO® 4 Cheese Mexican Blend, divided ",0.0181
2,Slam Dunk Sauce,17502,"Sweet and pungent BBQ sauce for any light meat, pork, chicken, etc. Use as a baste or marinade and serve on the side with charcoal broiled ribs, chicken, or pork. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F63022ecf9e066e240859e39758e2718c%2F854941.jpg,28,52.8,3,4.9,11.7,0.6,9.1,0.4,0.0,0.0228,0.0006,0.011800000000000001,0.18619999999999998,0.4203,"3 tablespoons mustard powder #¼ cup wasabi powder #1 teaspoon salt, or to taste #½ teaspoon cayenne pepper #½ teaspoon ground black pepper #¼ cup honey #1 (12 fluid ounce) can or bottle beer #3 cups ketchup #½ cup Worcestershire sauce #2 tablespoons lemon juice #½ cup finely chopped onion #½ cup chopped fresh cilantro ",0.0
3,Aunt Rosie's Gob Cake,17503,Aunt Rosie bakes her famous Gob Cake and brings it to every family function. It uses a basic box cake with a few more ingredients and some homemade icing. Start your own family tradition! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F611556.jpg,14,461.2,21,4.0,53.9,1.2,38.0,26.3,10.0,0.1057,0.0021000000000000003,0.026600000000000002,0.21380000000000002,0.497,1 (18.25 ounce) package chocolate cake mix #1 (3.9 ounce) package instant chocolate pudding mix #¼ cup vegetable oil #1 ½ cups milk #4 eggs #2 cups confectioners' sugar #½ cup milk #½ cup shortening #½ cup butter #1 teaspoon vanilla extract #3 tablespoons all-purpose flour ,0.0782
4,Bittersweet Chocolate Pound Cake,17504,"A deep dark chocolate Bundt cake made with melted chocolate, with a chocolate glaze drizzled over the top. From the kitchen of Nestle ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F976150.jpg,12,554,18,4.5,70.0,3.2,48.2,29.1,18.0,0.0446,0.0018,0.008199999999999999,0.22219999999999998,0.2829,"2 cups all-purpose flour #1 teaspoon baking soda #1 teaspoon baking powder #1 ½ cups water #2 tablespoons TASTER'S CHOICE® 100% Pure Instant Coffee #1 (8 ounce) box NESTLE® TOLL HOUSE® Unsweetened Chocolate Baking Bar, broken into pieces, divided #2 cups granulated sugar #1 cup butter, softened #1 teaspoon vanilla extract #3 large eggs large eggs #3 tablespoons butter or margarine #1 ½ cups sifted powdered sugar #2 tablespoons water #1 teaspoon vanilla extract # powdered sugar ",0.0948
5,Simple Peanut Squash,17505,"For those that don't yet have a taste for squash, here is an easy introduction. My wife once hated squash now this is her favorite. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F571591.jpg,2,536.3,38,4.5,86.4,12.5,26.9,23.6,14.7,0.3183,0.0045,0.21430000000000002,2.2249,0.4829,1 butternut squash #2 tablespoons brown sugar #¼ cup butter #¼ teaspoon salt ,0.061
6,Mocha Biscotti,17506,"Twice baked, these crunchy cookies are delicious with a steaming mug of cocoa or coffee to dip them in. Kept in an airtight container, they'll last for weeks so you'll be sure to have some on hand for those unexpected guests. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F10947.jpg,36,80.3,15,3.7,11.7,1.0,6.5,3.5,1.7,0.015099999999999999,0.0005,0.0116,0.0577,0.0422,"1 ½ cups all-purpose flour #½ cup NESTLE® TOLL HOUSE® Baking Cocoa #2 tablespoons TASTER'S CHOICE® 100% Pure Instant Coffee #1 teaspoon baking powder #½ teaspoon baking soda #⅔ cup granulated sugar #3 tablespoons butter, softened #2 large eggs large eggs #½ teaspoon almond extract #½ cup sliced almonds, toasted #1 cup NESTLE® TOLL HOUSE® Semi-Sweet Chocolate Morsels ",0.0129
7,Slow Cooker Sauerkraut and Sausage,17507,Here's an old recipe I have used for years. Sauerkraut and pork sausage cooked slowly in a slow cooker. Yummm! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F56298.jpg,5,639.8,104,4.4,19.0,3.3,13.4,55.1,19.8,0.0723,0.003,0.0327,0.515,1.6527,"1 (20 ounce) can sauerkraut #¼ cup brown sugar #1 ½ pounds ground pork sausage #1 onion, sliced ",0.09259999999999999
8,Chocolate Peppermint Wafers,17508,"A festive candy treat, these chocolate peppermint wafers are great for parties or just to have around. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F976741.jpg,36,59.7,2,5.0,7.3,0.3,6.4,3.4,2.0,0.0132,0.0,0.0,0.0152,0.0056,"3 (2 ounce) bars NESTLE® TOLL HOUSE® Premier White Baking Chocolate, broken into pieces #12 piece (blank)s peppermint hard candies, crushed #1 cup NESTLE® TOLL HOUSE® Semi-Sweet Chocolate Morsels #1 tablespoon shortening ",0.0012
9,Lazy Dazy Cake II,17509,"This is a recipe from my Mom I've had it for years. It's a rich cake almost like egg nog, and easy to make. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1568609.jpg,24,131.7,12,3.5,26.6,0.3,18.5,1.8,0.8,0.040799999999999996,0.0007,0.0046,0.038700000000000005,0.11,4 eggs #2 cups white sugar #2 teaspoons vanilla extract #2 cups all-purpose flour #2 teaspoons baking powder #½ teaspoon salt #1 cup milk #4 teaspoons butter #¼ cup confectioners' sugar for dusting ,0.033600000000000005
