,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,fat,saturated fat,calcium,iron,magnesium,potassium,sodium,ingredients,cholesterol
0,Churros,24700,"Churros (Mexican fritters) are very common at fairs. In my border hometown, the line at this stand is always overwhelming. People wait hours in line just to get a taste of these churros. I have run across several recipes but this is the best one by far. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F6e768b525fc6f794f8239fd07d9b18f5%2F1644000749Screen%20Shot%202022-02-04%20at%2022.52.26.png,4,691.3,617,4.3,57.1,1.1,32.9,51.1,6.7,0.0127,0.0015,0.0078,0.037200000000000004,0.2931,"1 cup water #2 ½ tablespoons white sugar #½ teaspoon salt #2 tablespoons vegetable oil #1 cup all-purpose flour #2 quarts oil for frying #½ cup white sugar, or to taste #1 teaspoon ground cinnamon ",0.0
1,Vanilla Ice Cream IX,24701,"This is the best Vanilla ice cream. This recipe was handed down from my grandmother and it is mandatory at all holidays and birthdays at our house. This recipe contains raw eggs. We recommend that pregnant women, young children, the elderly and the infirm do not consume raw eggs. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2912773.jpg,32,166.4,25,4.6,19.4,0.0,19.0,8.6,5.1,0.0974,0.0002,0.0094,0.12290000000000001,0.08270000000000001,4 eggs #2 ½ cups white sugar #2 cups heavy cream #2 cups evaporated milk #5 cups whole milk #2 ¼ teaspoons vanilla extract #2 ¼ teaspoons lemon extract #½ teaspoon salt ,0.052
2,Bavarian Mints,24702,These mints were always a part of the holiday cookie exchanges in Nebraska. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F60613.jpg,25,168.4,44,4.5,21.0,0.2,19.3,9.1,5.5,0.0727,0.0002,0.0078,0.0679,0.0571,"3 cups milk chocolate chips #1 (1 ounce) square unsweetened chocolate, chopped #1 tablespoon butter #1 (14 ounce) can sweetened condensed milk #1 teaspoon peppermint extract #1 teaspoon vanilla extract ",0.013300000000000001
3,Caramel Sauce,24703,"Yes, it's true -- caramel sauce can be this easy. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8243199.jpg,14,89.9,93,4.4,15.2,0.0,15.2,2.4,1.5,0.0795,0.0001,0.0073,0.1039,0.0356,1 (14 ounce) can sweetened condensed milk ,0.0095
4,Seven Layer Gelatin Salad,24704,Don't wait until the last minute to make this recipe. Each layer has to set before the next one is added. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2021%2F08%2F06%2F24704_SevenLayerGelatinSalad_MFS__16.jpg,18,188.6,79,4.4,34.8,0.0,3.5,3.7,3.0,0.055799999999999995,0.0001,0.0057,0.0659,0.1062,"7 (3 ounce) packages assorted fruit flavored Jell-O® mix #4 ½ cups boiling water, divided #4 ½ cups cold water, divided #1 (12 fluid ounce) can evaporated milk, divided #1 (8 ounce) container frozen whipped topping, thawed ",0.0060999999999999995
5,Bananas Foster,24705,This bananas foster recipe is a Father's Day favorite that we all love. Sweet bananas are warmed in a buttery rum sauce and served over vanilla ice cream. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F45edaeaa3e7cae05a80aa92861f90980%2F164589231916458923153011058559081468107935.jpg,4,533.8,794,4.9,73.2,3.4,60.8,23.8,12.3,0.133,0.0008,0.048600000000000004,0.5365,0.1461,"¼ cup butter #⅔ cup dark brown sugar #3 ½ tablespoons rum #1 ½ teaspoons vanilla extract #½ teaspoon ground cinnamon #3 bananas, peeled and sliced lengthwise and crosswise #¼ cup coarsely chopped walnuts #1 pint vanilla ice cream ",0.0595
6,Taco Pie II,24706,"Everyone loves this great taco dip. It's so easy, but it looks like it took a lot of effort. You can adjust the spiciness to your liking. Serve with tortilla chips ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4468851.jpg,56,40.8,15,4.3,1.6,0.5,0.4,3.2,1.9,0.038,0.0004,0.005900000000000001,0.0598,0.12409999999999999,"1 (8 ounce) package cream cheese, softened #1 (16 ounce) jar salsa #1 (15 ounce) can chili with beans #2 cups shredded Cheddar cheese ",0.0099
7,Yummy Spinach Dip,24707,"This is my own version of a basic spinach dip. It's a mild, creamy mixture with the gentle crunch of water chestnuts, and it's perfect for potlucks. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6283972.jpg,40,61.2,19,4.2,2.2,0.4,0.3,5.7,2.0,0.0251,0.0002,0.0070999999999999995,0.0511,0.1026,"1 (10 ounce) package frozen chopped spinach, thawed and drained #1 (16 ounce) container sour cream #¾ cup mayonnaise #3 green onions, chopped #1 (1 ounce) package dry vegetable dip mix #1 (8 ounce) can water chestnuts, drained and chopped #2 teaspoons prepared Dijon-style mustard ",0.0066
8,Veggie Pate,24708,"Sandwiches and crackers will be transformed into savory wonders by this flavorful spread filled with vegetables, herbs and spices. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3645283.jpg,16,102.4,27,4.4,7.8,2.1,0.7,7.1,1.1,0.0108,0.0006,0.0104,0.1875,0.0804,"1 cup sunflower seeds #½ cup whole wheat flour #½ cup nutritional yeast #½ teaspoon salt #½ cup vegetable oil #2 tablespoons lemon juice #1 potato, peeled and chopped #1 large carrot, peeled and sliced #1 onion, chopped #1 stalk celery, chopped #1 clove garlic, peeled #1 ½ cups water #½ teaspoon dried thyme #½ teaspoon dried basil leaves #½ teaspoon dried sage #½ teaspoon dried savory #½ teaspoon ground black pepper #½ teaspoon ground dry mustard ",0.0
9,Indian Saffron Rice,24709,"Indian saffron is richer, darker in its red-orange color then the Spanish or Italian, and gives a better flavor to rice. The saffron should always be steeped in hot water ahead of time and used as part of the liquid in the recipe. The following is a recipe prepared in the Indian manner. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8090060.jpg,6,154.2,114,4.4,26.1,0.4,0.0,4.1,2.5,0.013,0.0011,0.012,0.0346,0.4182,"⅛ teaspoon powdered saffron #2 cups boiling water, divided #2 tablespoons butter #1 cup uncooked long-grain white rice, not rinsed #1 teaspoon salt ",0.010199999999999999
10,Eggless Tofu Spinach Quiche,24710,I make this quiche without eggs. The tofu gives it a good texture. I've brought it to potlucks where friends aren't vegetarian...no one ever knew! It is always a hit! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6297713.jpg,6,287.9,128,4.5,18.5,2.8,1.8,18.8,7.1,0.3755,0.0039,0.0601,0.2822,0.4888,"1 (8 ounce) container tofu #⅓ cup 1% milk #½ teaspoon salt, or to taste #½ teaspoon pepper #1 (10 ounce) package frozen chopped spinach, thawed and drained #1 teaspoon minced garlic #¼ cup diced onion #⅔ cup shredded Cheddar cheese #½ cup shredded Swiss cheese #1 unbaked 9 inch pie crust ",0.0221
11,Tofu and Cheese Stuffed Shells,24711,No one will ever know that these giant pasta shells contain tofu...unless you tell! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F16322.jpg,4,645.6,82,4.5,97.4,6.5,10.0,13.4,6.3,0.6116,0.0106,0.1025,0.8065,0.9228999999999999,"1 (16 ounce) package jumbo pasta shells #⅓ cup grated carrot #¼ cup shredded zucchini #3 tablespoons chopped onion #1 (8 ounce) container tofu #½ cup shredded Monterey Jack cheese #1 cup shredded mozzarella cheese, divided #½ cup ricotta cheese #1 egg white #½ teaspoon salt #½ teaspoon pepper #2 (8 ounce) cans diced tomatoes #⅓ cup tomato paste #1 teaspoon dried basil #1 teaspoon dried oregano #¼ teaspoon garlic powder #1 teaspoon minced garlic ",0.030699999999999998
12,Ginger Veggie Stir-Fry,24712,"I just whipped this up one day when I felt like a stir-fry but did not have all the ingredients called for in some of the stir-fry recipes on this site. I used certain veggies I had on hand, but any seasonal veggies may be used. It has a mild ginger flavor that can be enhanced according to taste, and is filling yet light on the tummy! Tofu may be added. Serve over a bed of steamed jasmine rice. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F5e809044a6f6503e07a3da9385a90d6d%2F1645911386Vegetable%20Stir%20Fry%20(2).jpg,6,118.6,481,4.3,8.0,2.2,2.5,9.3,1.5,0.0348,0.0007,0.0185,0.24480000000000002,0.9033,"1 tablespoon cornstarch #1 ½ cloves garlic, crushed #2 teaspoons chopped fresh ginger root, divided #¼ cup vegetable oil, divided #1 small head broccoli, cut into florets #½ cup snow peas #¾ cup julienned carrots #½ cup halved green beans #2 tablespoons soy sauce #2 ½ tablespoons water #¼ cup chopped onion #½ tablespoon salt ",0.0
13,Texas Hotdog Sauce,24713,"When I was small we would always stop and get hot dogs smothered in a flavorful meat sauce on the way to Gram's. Dad worked and experimented, and finally came up with a sauce that tasted just as good. Be sure to spread the hot dog rolls with mustard and top them off with chopped onion. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1516682.jpg,32,50.4,14,3.9,1.7,0.2,0.4,3.9,1.4,0.005900000000000001,0.0003,0.0031,0.0348,0.1365,"1 tablespoon vegetable oil #4 ounces ground beef #4 ounces ground pork #4 beef frankfurters, diced #¼ cup diced sweet onion #½ clove garlic, peeled and minced #½ teaspoon browning sauce #¼ teaspoon ground black pepper #¾ teaspoon salt #¼ (10.75 ounce) can tomato soup #2 ½ cups water #¾ teaspoon paprika #½ teaspoon chili powder #¾ teaspoon ground cinnamon #½ cup fine dry bread crumbs ",0.0085
14,Spinach Casserole with Cottage Cheese,24714,Spinach noodle casserole with cottage cheese and a crunchy top. That's all! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3302381.jpg,4,429.6,28,3.2,49.9,4.1,2.9,15.6,9.0,0.1824,0.0033,0.0868,0.45330000000000004,0.6129,"2 cups seashell pasta #1 (10 ounce) package frozen chopped spinach, thawed and drained #1 (16 ounce) package cottage cheese #1 slice day old bread, toasted #3 tablespoons melted butter ",0.039700000000000006
15,Spinach Mushroom and Ricotta Fettuccine,24715,A yummy alternative to those heavy pasta sauces. Ideal for summer. Quick and easy too. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F458198.jpg,4,502.1,48,3.0,75.2,7.3,3.3,12.6,6.0,0.4653,0.0057,0.143,1.01,0.45230000000000004,"1 (16 ounce) package spinach fettuccine pasta #1 teaspoon butter #3 cups mushrooms #1 (10 ounce) package frozen chopped spinach #1 (15 ounce) container ricotta cheese #1 lemon, juiced ",0.0357
